Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.27025282,0.0796583,0.29918881,1.0E-8,0.4924717806494656,0.0,1.0,0.64471923
17,0.27025282,0.07971363,0.2873278,1.0E-8,0.47063185893425086,4.0,1.0,0.64471923
58,0.27025282,0.07976643,0.27228572,1.0E-8,0.4489331686466862,12.0,1.0,0.64471923
145,0.27025282,0.08336319,0.24067355,1.0E-8,0.3969711425681044,30.0,1.0,0.65571852
255,0.27025282,0.08683718,0.22504867,1.0E-8,0.37997435983937816,52.0,1.0,0.65571852
610,0.62802992,0.17561525,0.15890338,1.0E-8,0.3226709814910591,127.0,0.99999999,0.66860924
1117,0.77833635,0.23233047,0.13194718,0.002391083463283178,0.29726048448096765,233.0,0.99936067,0.71181331
1277,0.78320041,0.26066397,0.12437805,8.515380402168704E-4,0.28039846195978313,266.0,0.99974,0.73888576
1807,0.78592267,0.37086272,0.11086083,0.05149319085247492,0.29349515413587,375.0,0.9766963,0.76300383
3178,0.78592267,0.42882241,0.0870889,0.052730041579151773,0.24188752216022497,652.0,0.96769304,0.76300383
3319,0.78592267,0.431367,0.08639895,0.05286869302586966,0.23828776955916436,681.0,0.96696502,0.76300383
4851,0.78766435,0.48853133,0.07154438,0.06645028942859875,0.22199288153606217,993.0,0.95141777,0.76300383
15042,0.78766435,0.61624864,0.04109874,0.09985839591431253,0.19006160408568748,3071.0,0.91095107,0.78591641
15457,0.78766435,0.62093941,0.03988275,0.10059319023601554,0.18956870266560338,3158.0,0.91007544,0.78591641
15811,0.78766435,0.62166936,0.03975782,0.10087206897016113,0.18884186894828073,3232.0,0.90946095,0.78591641
37652,0.78766435,0.68366696,0.02725793,0.11781045093568346,0.17518153251401916,7680.0,0.8741145,0.78591641
38524,0.78766435,0.68459556,0.02678213,0.11774590250305236,0.17446845543425807,7858.0,0.8730863,0.78591641
38782,0.78766435,0.68601519,0.02686177,0.11760488952888923,0.17413500502295612,7912.0,0.87324067,0.78591641
39634,0.78766435,0.68773716,0.02586501,0.12398709641772725,0.1799067741141484,8087.0,0.87017779,0.78591641
42951,0.78766435,0.68929581,0.02479312,0.12159581209848587,0.17533058009840652,8763.0,0.86844502,0.78591641
47960,0.78766435,0.69431095,0.02306444,0.12401682855033234,0.17487578549010246,9789.0,0.86389735,0.78591641
67195,0.78766435,0.70908942,0.02045473,0.12407535765540056,0.16707399252248373,13719.0,0.85266138,0.78591641
91133,0.78766435,0.72220493,0.01676582,0.12872308819113326,0.16567845621041116,18594.0,0.84554503,0.78692698
329997,0.78766435,0.75351149,0.00955726,0.13737843113194698,0.1568115974805684,67399.0,0.81813321,0.78766435
338406,0.78766435,0.75410314,0.00949482,0.13750227305168794,0.15668762103417044,69153.0,0.81776842,0.78766435
393491,0.78766435,0.75710112,0.00873327,0.13900299594634932,0.15677095373762637,80636.0,0.81565202,0.78766435
1406744,0.78766435,0.77167524,0.00440242,0.14410062201120336,0.15344337228735486,291802.0,0.80263769,0.78766435
1616397,0.78766435,0.77262006,0.00414496,0.1446056481211416,0.15331894090933987,335494.0,0.80137301,0.78766435
2753113,0.78766435,0.77635896,0.00318873,0.1456702327926907,0.15234095319443247,572448.0,0.79850545,0.78766435
2917713,0.78766435,0.77678652,0.0030993,0.14576299520073022,0.1522424464514754,606747.0,0.79821537,0.78766435
4803771,0.78766435,0.77891214,0.00239947,0.14662534610264918,0.15167254581118747,1000000.0,0.79565361,0.78766435
