Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.26694801,0.07889404,0.5809243,1.0E-8,0.99999999,0.0,1.0,0.65571852
22,0.26694801,0.07889404,0.40194659,1.0E-8,0.664877025697302,5.0,1.0,0.64471923
63,0.34512206,0.1514978,0.23163459,1.0E-8,0.43947926419548955,14.0,1.0,0.64492829
145,0.54044653,0.25789148,0.15345875,1.0E-8,0.3234508102789208,31.0,1.0,0.71181331
275,0.78320041,0.35368742,0.12074209,0.01381622194354104,0.266183778056459,56.0,0.99435409,0.73888576
468,0.78766435,0.45783134,0.09449801,0.060337883151476535,0.25770493030418096,95.0,0.96786287,0.76297229
809,0.78766435,0.52370671,0.07127799,0.08300590435805855,0.23132915609099153,164.0,0.94666507,0.7832167
1315,0.78766435,0.58258957,0.05929109,0.09906999835335896,0.21712256182169576,268.0,0.92861504,0.7832167
2728,0.78766435,0.63313573,0.04312791,0.1122413772956661,0.19812341714556145,557.0,0.90853819,0.78591641
5582,0.78766435,0.67361602,0.03119413,0.11964480373129044,0.18015398902524882,1145.0,0.88326803,0.78591641
9595,0.78766435,0.70006775,0.02414977,0.12281298425110568,0.16903538877807914,1966.0,0.86193224,0.78591641
17647,0.78766435,0.72583575,0.01690849,0.13130938708840195,0.16548965904568957,3599.0,0.84488667,0.78692698
50981,0.78766435,0.75134746,0.01067686,0.13875036052188575,0.15890818228786288,10404.0,0.82151446,0.78692698
51092,0.78766435,0.7514187,0.01072027,0.13861640098890612,0.15875143376076764,10426.0,0.82151275,0.78692698
51614,0.78766435,0.75151777,0.01059215,0.13867113392455335,0.15869935891122053,10537.0,0.82128709,0.78692698
53282,0.78766435,0.75216914,0.01025465,0.13870468735286848,0.15840647793235826,10891.0,0.82085411,0.78692698
55537,0.78766435,0.75266602,0.00986867,0.13924879638158089,0.15855629580454728,11358.0,0.81997073,0.78766435
68165,0.78766435,0.75604606,0.00894152,0.1412934221936135,0.15871134129897926,14001.0,0.81667899,0.78766435
1195656,0.78766435,0.78035662,0.00247029,0.1471260322611396,0.15131268899294728,248982.0,0.79498946,0.78766435
1410847,0.78766435,0.78088655,0.0022484,0.1472230548587946,0.15107760544472804,293837.0,0.79436351,0.78766435
1614525,0.78766435,0.78128156,0.00209203,0.14737586775140427,0.15097975999461177,336297.0,0.79388371,0.78766435
2705188,0.78766435,0.78277244,0.00152798,0.1479221180054771,0.15070625173833108,563661.0,0.79250736,0.78766435
4797987,0.78766435,0.78400053,0.0011688,0.14828419113449592,0.15037519948137568,1000000.0,0.79130956,0.78766435
