Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.77862934,0.0,0.52879463,1.0E-8,0.5069604605922753,0.0,1.0,0.81241962
94,0.77900965,0.0,0.52833946,1.0E-8,0.5069604605922753,10.0,1.0,0.810098
520,0.79187824,0.0,0.52674883,1.0E-8,0.5069604605922753,54.0,1.0,0.81608635
827,0.80289528,1.2E-7,0.52575877,1.0E-8,0.5069604605922753,85.0,1.0,0.81616751
1023,0.802694,7.9E-7,0.52511403,1.0E-8,0.5069604605922753,105.0,1.0,0.80607571
1514,0.80478189,1.081E-5,0.523753,1.0E-8,0.5069604605922753,156.0,1.0,0.81518707
1878,0.80330541,2.9E-5,0.52278741,1.0E-8,0.5069604605922753,193.0,1.0,0.81387648
2441,0.80587023,7.645E-5,0.52138991,1.0E-8,0.5069604605922753,249.0,1.0,0.8168811
2675,0.80587023,1.319E-4,0.52089928,1.0E-8,0.5069604605922753,273.0,1.0,0.8171522
3473,0.80587023,4.2107E-4,0.51941947,1.0E-8,0.5069604605922753,354.0,1.0,0.82104204
4054,0.80750379,0.00115298,0.51825094,1.0E-8,0.5069604605922753,414.0,1.0,0.82268489
4712,0.80750379,0.00175754,0.51705043,1.0E-8,0.5069604605922753,481.0,1.0,0.81872103
5257,0.81449083,0.00201574,0.51577323,1.0E-8,0.5069604605922753,537.0,1.0,0.81977441
5352,0.81378227,0.0021308,0.51548102,1.0E-8,0.48692583424418706,547.0,1.0,0.81966478
6169,0.8123051,0.00268197,0.51361695,1.0E-8,0.367812634521766,631.0,1.0,0.82052118
6651,0.8123051,0.00282213,0.51271251,1.0E-8,0.367812634521766,681.0,1.0,0.82043496
7952,0.81689458,0.00454262,0.51089959,1.0E-8,0.367812634521766,814.0,1.0,0.82311936
8322,0.81689458,0.00469072,0.51030193,1.0E-8,0.367812634521766,853.0,1.0,0.81952329
9927,0.81737248,0.006343,0.50820573,1.0E-8,0.367812634521766,1018.0,1.0,0.8241808
10130,0.81737248,0.00660622,0.50790831,1.0E-8,0.367812634521766,1039.0,1.0,0.82311942
10402,0.81750138,0.00730442,0.50757807,1.0E-8,0.367812634521766,1067.0,1.0,0.82024417
12306,0.81715227,0.01106689,0.50530748,1.0E-8,0.367812634521766,1262.0,1.0,0.80872536
13265,0.81786861,0.01370507,0.50427073,1.0E-8,0.367812634521766,1361.0,1.0,0.81016182
13360,0.81786861,0.01382105,0.50410648,1.0E-8,0.367812634521766,1371.0,1.0,0.81113196
14086,0.81786861,0.01570011,0.50317619,1.0E-8,0.367812634521766,1447.0,1.0,0.81074552
