Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,10.0,10.0,0.78686347,1.0E-8,0.99999999,0.0,109.9999971,54.48774999
37,10.0,10.0,0.78681323,1.0E-8,0.99999999,5.0,109.9999971,54.48774999
125,10.0,10.0,0.78623651,1.0E-8,0.99999999,13.0,109.9999971,54.48774999
367,10.0,10.0,0.78479289,1.0E-8,0.99999999,41.0,109.9999971,54.48774999
1309,26.59911103,11.66325442,0.78190685,1.0E-8,0.99999999,163.0,104.99999795,56.87689619
3772,41.69248143,17.81019828,0.77932667,1.0E-8,0.99999999,454.0,104.99999795,56.87689619
3827,41.69248143,17.81019828,0.77926234,1.0E-8,0.99999999,459.0,104.99999795,56.87689619
3920,41.69248143,17.81019828,0.77870706,1.0E-8,0.99999999,471.0,104.99999795,56.87689619
4052,41.69248143,17.81019828,0.77784748,1.0E-8,0.99999999,483.0,104.99999795,56.87689619
4539,41.69248143,17.81019828,0.77553692,1.0E-8,0.99999999,533.0,103.77138299,56.87689619
5508,41.69248143,17.81019828,0.77267966,1.0E-8,0.99999999,635.0,101.9999979,54.88589403
8470,45.06239541,17.87426857,0.76927829,1.0E-8,0.99999999,952.0,101.9999979,54.88589403
8517,45.06239541,17.87426857,0.76922896,1.0E-8,0.99999999,957.0,101.90660089,54.88589403
8665,45.06239541,17.87426857,0.76849171,1.0E-8,0.99999999,972.0,100.99999783,53.42887862
8871,45.06239541,17.87426857,0.76758873,1.0E-8,0.99999999,992.0,100.99999783,53.42887862
8926,45.06239541,17.87426857,0.76728942,1.0E-8,0.99999999,997.0,100.99999781,53.42887862
9047,45.06239541,17.87426857,0.76660167,1.0E-8,0.99999999,1008.0,100.99999783,53.42887862
9340,45.06239541,17.87426857,0.76497386,1.0E-8,0.99999999,1036.0,100.99999783,53.42887862
9692,45.06239541,17.87426857,0.76358532,1.0E-8,0.8258097889693574,1072.0,100.99999782,53.40675927
10606,45.06239541,17.87426857,0.76035918,1.0E-8,0.6357583547340191,1160.0,100.0084961,54.88386128
11016,45.06239541,17.87426857,0.75921416,1.0E-8,0.6034485403440317,1199.0,100.0084961,54.88589403
11393,45.06239541,17.87426857,0.757168,1.0E-8,0.6034485403440317,1237.0,100.9589733,54.88589403
12641,45.06239541,17.87426857,0.75335287,1.0E-8,0.6034485403440317,1359.0,99.99999738,50.28955165
17406,45.37686448,17.87430961,0.74613923,1.0E-8,0.6034485403440317,1817.0,99.99999738,50.28955165
17452,45.37686448,17.87430961,0.74595933,1.0E-8,0.6034485403440317,1822.0,99.99999738,50.28955165
17663,45.37686448,17.87430961,0.74486857,1.0E-8,0.6034485403440317,1846.0,99.90748948,50.28955165
18873,43.64497439,17.95427951,0.74274864,1.0E-8,0.6034485403440317,1978.0,96.40903188,50.28955165
25667,49.55797798,24.40305106,0.74061982,1.0E-8,0.6034485403440317,2783.0,96.16793418,54.23304246
63487,50.22600943,38.08462759,0.73906805,1.0E-8,0.6034485403440317,7130.0,96.16743406,54.21326518
63553,50.22600943,38.08462759,0.7389228,1.0E-8,0.6034485403440317,7136.0,95.91427846,54.21326518
63635,50.22600943,38.08462759,0.73861757,1.0E-8,0.6034485403440317,7144.0,95.82350906,53.36114788
63800,50.22600943,38.08462759,0.73793902,1.0E-8,0.6034485403440317,7159.0,96.19835627,54.21727572
63861,50.22600943,38.08462759,0.73772587,1.0E-8,0.6034485403440317,7165.0,96.19835627,54.21727572
64158,50.22600943,38.08462759,0.73635358,1.0E-8,0.6034485403440317,7192.0,95.97814559,54.21727572
64533,50.22600943,38.08462759,0.7351154,1.0E-8,0.6034485403440317,7227.0,95.75247049,53.36114788
65865,50.22600943,38.08462759,0.73245058,1.0E-8,0.6034485403440317,7351.0,95.75247049,53.36114788
66017,50.22600943,38.08462759,0.73173127,1.0E-8,0.6034485403440317,7365.0,95.75473545,53.36114788
66380,50.22600943,38.08462759,0.73005704,1.0E-8,0.6034485403440317,7399.0,95.74401865,53.36114788
68181,50.22600943,38.08462759,0.72489678,1.0E-8,0.6034485403440317,7567.0,95.37290636,53.42887862
69903,50.22600943,38.08462759,0.72230512,1.0E-8,0.6034485403440317,7730.0,95.22615006,53.42887862
76958,50.22600943,38.08462759,0.71713085,0.03487601510090546,0.42755173056383444,8423.0,94.99999804,51.97503611
112112,50.22600943,38.08462759,0.71071829,0.12752914199774598,0.31965878667166414,11836.0,94.99999804,51.9290875
112167,50.22600943,38.08462759,0.71062135,0.12752914199774598,0.31965878667166414,11841.0,94.99999804,51.9290875
112286,50.22600943,38.08462759,0.71005182,0.12752914199774598,0.31965878667166414,11852.0,94.99999804,51.9290875
112633,50.22600943,38.08462759,0.70830084,0.12752914199774598,0.31965878667166414,11886.0,93.40559839,51.9290875
113834,50.22600943,38.08462759,0.70512027,0.12752914199774598,0.31965878667166414,12002.0,92.81521553,56.82434253
117101,50.22600943,38.08462759,0.70125626,0.12752914199774598,0.31965878667166414,12316.0,92.70945496,56.79910722
117348,50.22600943,38.08462759,0.70109732,0.12752914199774598,0.31965878667166414,12339.0,92.49939559,54.0876073
118755,50.22600943,38.08462759,0.69975125,0.12752914199774598,0.31965878667166414,12471.0,92.46591563,54.16291198
123959,50.22600943,38.08462759,0.69459118,0.12752914199774598,0.31965878667166414,12955.0,91.99999799,49.87855126
144099,50.28955165,38.09394745,0.68740226,0.12752914199774598,0.31965878667166414,14836.0,91.99999786,49.43325239
144146,50.28955165,38.09394745,0.68736884,0.12752914199774598,0.31965878667166414,14841.0,91.99999785,49.43325239
144294,50.28955165,38.09394745,0.68685387,0.12752914199774598,0.31965878667166414,14855.0,91.99999784,49.43325239
144507,50.28955165,38.09394745,0.68590412,0.12752914199774598,0.31965878667166414,14875.0,91.81689095,49.43325239
145312,50.28955165,38.09394745,0.68378294,0.12752914199774598,0.31965878667166414,14949.0,91.62910759,54.67525371
146473,50.28955165,38.09394745,0.68148384,0.12752914199774598,0.31965878667166414,15058.0,91.62931966,54.67525371
146796,50.28955165,38.09394745,0.68133687,0.12752914199774598,0.31965878667166414,15096.0,90.99999786,48.84747298
151543,50.28955165,38.11492065,0.67991243,0.12752914199774598,0.31965878667166414,15623.0,90.99999786,48.84747298
151598,50.28955165,38.12025377,0.67982905,0.12752914199774598,0.31965878667166414,15628.0,90.99999786,48.84747298
151670,50.28955165,38.12025377,0.67950541,0.12752914199774598,0.31965878667166414,15635.0,90.99999786,48.84747298
152169,50.28955165,38.1215211,0.67829402,0.12752914199774598,0.31965878667166414,15684.0,90.99999781,48.4308548
153151,50.28955165,38.13089215,0.67695103,0.12752914199774598,0.31965878667166414,15782.0,89.21767911,56.49805544
153206,50.28955165,38.13089215,0.67689817,0.12752914199774598,0.31965878667166414,15787.0,89.21767911,56.49805544
153515,50.28955165,38.13595759,0.67675185,0.12752914199774598,0.31965878667166414,15816.0,89.05150529,56.49805544
154567,50.28955165,38.13636433,0.67587358,0.12752914199774598,0.31965878667166414,15920.0,88.83670274,50.73913003
156758,50.28955165,38.14922077,0.67443267,0.12752914199774598,0.31965878667166414,16135.0,88.73656984,50.73843067
156846,50.28955165,38.14922077,0.67427059,0.12752914199774598,0.31965878667166414,16143.0,88.57683157,50.73843067
157220,50.28955165,38.15408296,0.67380842,0.12752914199774598,0.31965878667166414,16177.0,88.31859518,52.11057257
158876,50.28955165,38.15770679,0.6719627,0.12752914199774598,0.31965878667166414,16335.0,88.23492593,50.66880051
159389,50.28955165,38.15770679,0.67154056,0.12752914199774598,0.31965878667166414,16385.0,88.23053175,50.61803772
159444,50.28955165,38.15770679,0.67134851,0.12752914199774598,0.31965878667166414,16390.0,88.23184146,50.61803772
159745,50.28955165,38.15770679,0.67053353,0.12752914199774598,0.31965878667166414,16419.0,87.39557455,50.15838381
159998,50.28955165,38.15770679,0.66968771,0.12752914199774598,0.31965878667166414,16442.0,87.38537739,50.15838381
160090,50.28955165,38.15770679,0.66932486,0.12752914199774598,0.31965878667166414,16451.0,87.26178823,50.61803772
160291,50.28955165,38.15914524,0.66817416,0.12752914199774598,0.31965878667166414,16470.0,87.36261465,49.38067588
162158,50.28955165,38.15671229,0.66405502,0.12752914199774598,0.31965878667166414,16648.0,87.09234456,49.37793772
162208,50.28955165,38.15671229,0.66390772,0.12752914199774598,0.31965878667166414,16653.0,87.02445036,49.32333661
162362,50.28955165,38.15814115,0.66338962,0.12752914199774598,0.31965878667166414,16667.0,87.02445036,49.32333661
162419,50.28955165,38.15814115,0.66331105,0.12752914199774598,0.31965878667166414,16674.0,86.81473091,49.18410033
162509,50.28955165,38.15814115,0.66312201,0.12752914199774598,0.31965878667166414,16684.0,86.81473091,49.18410033
163316,50.28955165,38.15814115,0.66188382,0.12752914199774598,0.31965878667166414,16759.0,86.58789332,51.6548582
165210,50.28955165,38.15814115,0.66045888,0.12752914199774598,0.31965878667166414,16938.0,86.58692218,51.65246831
165680,50.28955165,38.15814115,0.65978813,0.12752914199774598,0.31965878667166414,16982.0,86.47665432,47.74074163
166628,50.28955165,38.15857062,0.658491,0.12752914199774598,0.31965878667166414,17071.0,86.45867798,48.28396722
166677,50.28955165,38.15857062,0.65835368,0.12752914199774598,0.31965878667166414,17076.0,86.45867797,48.28396722
166776,50.28955165,38.15857062,0.6580659,0.12752914199774598,0.31965878667166414,17085.0,86.43817245,49.32426814
166873,50.28955165,38.15857062,0.65761737,0.12752914199774598,0.31965878667166414,17094.0,86.4609185,48.28396722
167356,50.28955165,38.15857062,0.65642528,0.12752914199774598,0.31965878667166414,17157.0,86.4609185,48.28396722
167605,50.28955165,38.15857062,0.6555798,0.12752914199774598,0.31965878667166414,17180.0,86.27621254,49.20932148
168193,50.28955165,38.15995638,0.65407668,0.12752914199774598,0.31965878667166414,17235.0,86.27320445,49.20657445
169486,50.28955165,38.16170098,0.65111185,0.12752914199774598,0.31965878667166414,17356.0,85.95030591,48.87203151
172039,50.28955165,38.16692957,0.64772163,0.12752914199774598,0.31965878667166414,17590.0,85.80738968,52.58029537
173264,50.28955165,38.16244118,0.64647432,0.12752914199774598,0.31965878667166414,17703.0,85.80944272,52.43945094
173314,50.28955165,38.16244118,0.64637001,0.12752914199774598,0.31965878667166414,17708.0,85.72653047,52.4414837
173643,50.28955165,38.16244118,0.64591984,0.12752914199774598,0.31965878667166414,17741.0,85.51239068,53.27349641
175403,50.28955165,38.16372546,0.64479173,0.12752914199774598,0.31965878667166414,17905.0,85.07912163,50.86057346
185839,50.28955165,38.16744794,0.6412578,0.12752914199774598,0.31965878667166414,18881.0,85.07912163,50.81428251
185897,50.28955165,38.16744794,0.64121427,0.12752914199774598,0.31965878667166414,18889.0,84.92060715,50.81428251
186076,50.28955165,38.16744794,0.64067834,0.12752914199774598,0.31965878667166414,18908.0,84.48133811,52.80108374
186450,50.28955165,38.16744794,0.63995836,0.12752914199774598,0.31965878667166414,18946.0,84.32505375,51.53708969
186852,50.28955165,38.17017361,0.63970987,0.12752914199774598,0.31965878667166414,18983.0,84.26074561,51.79929134
191748,50.28955165,38.19317518,0.63769775,0.12752914199774598,0.31965878667166414,19435.0,83.99679176,52.77686029
193811,50.28955165,38.19543505,0.63664298,0.12752914199774598,0.31965878667166414,19625.0,84.00533852,52.75251166
194617,50.28955165,38.19654846,0.63599035,0.12752914199774598,0.31965878667166414,19699.0,83.54167038,52.75251166
197033,50.28955165,38.19654846,0.63477157,0.12752914199774598,0.31965878667166414,19926.0,82.78110645,55.59328518
204234,50.28955165,38.19874305,0.63232334,0.12752914199774598,0.31965878667166414,20601.0,82.74998989,55.64477867
204405,50.28955165,38.19874305,0.63222884,0.12752914199774598,0.31965878667166414,20617.0,82.69687711,48.66973734
206525,50.28955165,38.20790833,0.63145433,0.12752914199774598,0.31965878667166414,20814.0,82.69671679,48.66973734
206581,50.28955165,38.20790833,0.63141683,0.12752914199774598,0.31965878667166414,20821.0,82.60121297,48.43243551
206811,50.28955165,38.20790833,0.63075999,0.12752914199774598,0.31965878667166414,20845.0,82.61522481,48.38849368
207110,50.28955165,38.20790833,0.63011702,0.12752914199774598,0.31965878667166414,20873.0,82.90679324,48.32620407
209012,50.28955165,38.21438275,0.62862473,0.12752914199774598,0.31965878667166414,21056.0,82.39197182,54.48774999
215355,50.28955165,38.21674798,0.6259593,0.12752914199774598,0.31965878667166414,21655.0,82.21689326,52.70231548
257920,54.48774999,41.67787733,0.62452035,0.12752914199774598,0.31965878667166414,26730.0,81.5838724,50.71669692
258102,54.48774999,41.6921191,0.62440662,0.12752914199774598,0.31965878667166414,26750.0,81.58407169,50.71669692
258310,54.48774999,41.6921191,0.62430195,0.12752914199774598,0.31965878667166414,26770.0,81.49977421,49.74615135
259506,54.48774999,41.6921191,0.62373653,0.12752914199774598,0.31965878667166414,26881.0,81.44562774,50.00349999
