Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,10.0,10.0,0.78686347,1.0E-8,0.99999999,0.0,109.9999971,54.48774999
22,10.0,10.0,0.78686347,1.0E-8,0.99999999,2.0,109.9999971,54.48774999
48,10.0,10.0,0.71290371,1.0E-8,0.9260402267402006,6.0,109.9999971,54.48774999
81,10.0,10.0,0.63954142,1.0E-8,0.8526779348635036,9.0,109.9999971,54.48774999
159,10.0,10.0,0.52814363,1.0E-8,0.7412801447909337,17.0,109.9999971,54.48774999
248,10.0,10.0,0.44254259,1.0E-8,0.6556791091883982,26.0,109.9999971,54.48774999
275,10.0,10.0,0.41322631,1.0E-8,0.6263628235823382,29.0,109.9999971,54.48774999
465,10.0,10.0,0.36074712,1.0E-8,0.5738836343530282,55.0,109.9999971,54.48774999
663,10.0,10.0,0.29868792,1.0E-8,0.5118244346211662,81.0,109.9999971,54.48774999
1262,56.99167385,12.57366464,0.25994887,0.08373279640494963,0.47308538541323214,158.0,86.80609814,56.68340301
2705,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,329.0,82.32996028,56.68340301
2727,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,331.0,82.32996028,56.68340301
2749,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,333.0,82.32996028,56.68340301
2793,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,337.0,82.32996028,56.68340301
2848,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,342.0,82.32996028,56.68340301
2873,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,345.0,82.32996028,56.68340301
2895,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,347.0,82.32996028,56.68340301
2954,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,353.0,82.32996028,56.68340301
3027,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,360.0,82.32996028,56.68340301
3255,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,386.0,82.32996028,56.68340301
3855,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,448.0,82.32996028,56.68340301
4316,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,496.0,82.32996028,56.68340301
5077,56.99167385,24.4275494,0.167969,0.10304434015192307,0.38110551575585794,582.0,82.32996028,56.68340301
6658,56.99167385,31.33923536,0.12631381,0.09236785613967426,0.3394503256785076,751.0,84.812192,56.68340301
10893,57.01398036,38.22844118,0.08922745,0.12892094417887273,0.3023639720222446,1206.0,76.30103136,56.87689619
