Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,10.0,10.0,0.78686347,1.0E-8,0.99999999,0.0,69.9999983,37.62548646
14,10.0,10.0,0.58870393,1.0E-8,0.8018404511838105,2.0,69.9999983,37.62548646
21,10.0,10.0,0.42907764,1.0E-8,0.642214160652705,3.0,69.9999983,37.62548646
44,10.0,10.0,0.34852436,1.0E-8,0.5616608801016331,8.0,69.9999983,37.62548646
81,37.71728245,11.41496392,0.26534985,1.0E-8,0.4784863705984158,15.0,69.9999983,37.62548646
95,37.71728245,13.17040594,0.2407876,1.0E-8,0.4539241224200429,17.0,69.9999983,37.62548646
215,37.71728245,22.85581875,0.21313651,1.0E-8,0.34379131301574806,35.0,69.9999983,37.62548646
244,37.71728245,22.56285787,0.20912963,0.004006885827396056,0.3467040146465376,40.0,69.31995778,37.62548646
552,37.71728245,25.94340192,0.12644346,0.08669306140316106,0.31414201166573247,98.0,55.8345437,37.62548646
1683,37.71728245,30.76283885,0.07255949,0.14057702741718917,0.27094560632766684,301.0,47.6823326,37.62548646
5100,37.71728245,32.74483578,0.04088368,0.17916994892602162,0.25402019351123817,922.0,42.19432784,37.62548646
13991,37.71728245,33.78727949,0.03214077,0.20011814929522087,0.24527729140924792,2573.0,39.34767358,37.71728245
41752,37.71728245,35.82179804,0.01535351,0.20232679760584243,0.22849003065857015,7538.0,39.06967809,37.71728245
41766,37.71728245,35.82066017,0.01536281,0.20234042793840215,0.22849932574121565,7540.0,39.06796419,37.71728245
41773,37.71728245,35.82516146,0.01532604,0.20230582512526113,0.2284625561111065,7541.0,39.07231525,37.71728245
41808,37.71728245,35.82400558,0.01533548,0.20232609300492138,0.22847199797689882,7546.0,39.06976669,37.71728245
41818,37.71728245,35.81724438,0.01539071,0.20238456949363634,0.22852722928180633,7548.0,39.06241389,37.71728245
41870,37.71728245,35.81121467,0.01543997,0.20245039597308434,0.22857648811682313,7557.0,39.05413738,37.71728245
41884,37.71728245,35.81345459,0.01542167,0.20243641380124966,0.22855818912858844,7559.0,39.05589535,37.71728245
41940,37.71728245,35.80631692,0.01547998,0.20251233108000233,0.2286165015887726,7568.0,39.04635058,37.71728245
42397,37.71728245,35.80283694,0.01550842,0.20268174435743405,0.22864493337168104,7641.0,39.02505331,37.71728245
42456,37.71728245,35.79802319,0.01554775,0.20273941819850927,0.2286842636530106,7650.0,39.01780377,37.71728245
42861,37.71728245,35.81850578,0.01538041,0.2026952371202304,0.22851692486012748,7714.0,39.02335725,37.71728245
44094,37.71728245,35.84087664,0.01519768,0.2028783769785796,0.22833419591438867,7912.0,39.00033833,37.71728245
47795,37.71728245,35.93162108,0.01445685,0.20314543078162714,0.22759337140848837,8495.0,38.96677909,37.71728245
60107,37.71728245,36.13212213,0.0128222,0.2041628279960107,0.22595871642329834,10434.0,38.83900294,37.71728245
96703,37.71728245,36.61167785,0.00892451,0.2048822506172671,0.22206102606817638,16169.0,38.74872173,37.71728245
203393,37.71728245,36.91532109,0.00646513,0.207759518930875,0.21960164641436533,32924.0,38.38825448,37.71728245
518280,37.71728245,37.15637747,0.00451725,0.2102367454563881,0.21765377218497706,82416.0,38.07869425,37.71728245
1470639,37.71728245,37.40271371,0.00253081,0.21126433511377712,0.21566732340097922,232063.0,37.95050258,37.71728245
4314286,37.71728245,37.59497827,0.00158753,0.21154898904389777,0.21411972199735183,678430.0,37.91501494,37.71728245
6362608,37.71728245,37.6156555,0.00129996,0.21183655828167094,0.21395342907245532,1000000.0,37.87917399,37.71728245
