Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.9117779,0.0,0.55052734,1.0E-8,0.99999999,0.0,0.99999995,0.9117779
21,0.9117779,0.0,0.55052734,1.0E-8,0.99999999,1.0,0.99999995,0.9117779
39,0.9117779,0.0,0.55052734,1.0E-8,0.99999999,2.0,0.99999995,0.9117779
60,0.9117779,1.0E-8,0.53482179,1.0E-8,0.9732817892080146,3.0,0.99999995,0.9117779
81,0.9117779,5.94E-6,0.53580321,1.0E-8,0.9403511145338934,4.0,1.0,0.9117779
97,0.9117779,5.94E-6,0.53580321,1.0E-8,0.9403511145338934,5.0,1.0,0.9117779
118,0.9117779,1.684E-5,0.52107907,1.0E-8,0.9100950790739004,6.0,0.99999995,0.9117779
139,0.9117779,1.684E-5,0.52107907,1.0E-8,0.9100950790739004,7.0,0.99999995,0.9117779
160,0.9117779,2.76E-6,0.51006642,1.0E-8,0.9253781921785789,8.0,1.0,0.9117779
181,0.9117779,2.073E-5,0.51364376,0.02570914417470782,0.9372538187882551,9.0,1.0,0.9117779
202,0.9117779,7.089E-5,0.51157167,0.01617396184858305,0.9123974667228456,10.0,1.0,0.9117779
223,0.9117779,1.4914E-4,0.50560806,0.04193372383961508,0.9235835175396954,11.0,1.0,0.9117779
244,0.9117779,2.8237E-4,0.51166193,0.06611766139279246,0.9338823386072075,12.0,1.0,0.9117779
265,0.9117779,5.7736E-4,0.49828687,0.05661317599184851,0.9111287594920225,13.0,1.0,0.9117779
286,0.9117779,0.00105632,0.49296807,0.04782230325470027,0.8896776967452997,14.0,1.0,0.9117779
307,0.9117779,0.00158485,0.49158017,0.06997761749788717,0.8997193521990825,15.0,1.0,0.9117779
328,0.9117779,0.00253282,0.48491624,0.06152004347247203,0.8796564271157632,16.0,1.0,0.9117779
370,0.9117779,0.00552109,0.49387073,0.04628670394425205,0.8426021849446368,18.0,1.0,0.9117779
391,0.9117779,0.00336463,0.4820245,0.06643945343874735,0.8524794654801716,19.0,1.0,0.9117779
433,0.9117779,0.00301153,0.45453298,0.07822415122392368,0.8448527718529995,21.0,0.99999825,0.9117779
454,0.9117779,4.0385E-4,0.42835274,0.07127644583390685,0.8287235541660931,22.0,0.99999829,0.9117779
475,0.9117779,6.7701E-4,0.42310581,0.06473050371583461,0.8133182767719702,23.0,0.99999791,0.9117779
517,0.9117779,8.0772E-4,0.40794705,0.07597875137782983,0.8077421788547283,25.0,0.99999825,0.9117779
579,0.9117779,7.3401E-4,0.39774651,0.10225829313272394,0.8107851851281456,28.0,0.99999795,0.9117779
616,0.9117779,0.0012915,0.39734414,0.11122746244756732,0.8054392042190993,30.0,0.99999774,0.9117779
657,0.9117779,0.00126296,0.38444122,0.11963469059055032,0.8003653094094497,32.0,0.99999756,0.9117779
675,0.9117779,0.0110905,0.42628171,0.1334492101615672,0.8077272604266681,33.0,0.99999858,0.9117779
780,0.9117779,0.02687952,0.39783063,0.1420060038988522,0.7865654246725764,38.0,0.99999727,0.9117779
817,0.9117779,0.02476027,0.4146184,0.14865438250162744,0.7823801002569932,40.0,0.99999845,0.9117779
854,0.9117779,0.03325616,0.42071097,0.13828972612147633,0.7617102738785237,42.0,0.99999892,0.9117779
875,0.9117779,0.03807303,0.42358734,0.13339646372626063,0.7518494379130836,43.0,0.99999855,0.9117779
959,0.9117779,0.03247117,0.39379501,0.16168465934632803,0.7613922637305951,47.0,0.99999806,0.9117779
1001,0.9117779,0.00319601,0.35118268,0.16721042770796785,0.7581627066203904,49.0,0.99999645,0.9117779
1043,0.9117779,0.02842906,0.37129847,0.18697609336254511,0.7695456457678898,51.0,0.9999973,0.9117779
1127,0.9117779,0.03403369,0.37440034,0.20973992813333814,0.7765614417296756,55.0,0.99999724,0.9117779
1148,0.9117779,0.03815548,0.36938333,0.20494644819688684,0.7680265247760862,56.0,0.99999689,0.9117779
1251,0.9117779,0.04925963,0.3573489,0.20830053034675106,0.7537247861089451,61.0,0.99999699,0.9117779
1377,0.9117779,0.06682458,0.35161961,0.19568324777851404,0.7219638110450153,67.0,0.99999717,0.9117779
1456,0.9117779,0.09069169,0.35631982,0.1921462126440605,0.7067301918503215,71.0,0.9999975,0.9117779
1603,0.9117779,0.06989636,0.32037673,0.2208172350815957,0.7166827649184043,78.0,0.99999621,0.9117779
1645,0.9117779,0.08055157,0.32109305,0.22394684000905346,0.7148286701950282,80.0,0.99999664,0.9117779
1666,0.9117779,0.07212409,0.31231923,0.2305246362307801,0.7189703132641694,81.0,0.99999571,0.9117779
1787,0.9117779,0.10595008,0.31786002,0.22938997814151726,0.7039433551918161,87.0,0.99999594,0.9117779
1871,0.9117779,0.13189212,0.32229532,0.22575338928495609,0.6916778033755944,91.0,0.99999639,0.9117779
2036,0.9117779,0.11353134,0.29544663,0.24509015211049973,0.6950807880604404,99.0,0.99999548,0.9117779
2115,0.9117779,0.1213853,0.2908521,0.24976775992095504,0.6923810004096235,103.0,0.99999569,0.9117779
2608,0.9117779,0.18307874,0.28474098,0.23204650376485486,0.6369190134765244,127.0,0.99999502,0.9117779
2666,0.9117779,0.18398138,0.28129729,0.23203076443923595,0.6328341004256289,130.0,0.99999458,0.9117779
2854,0.9117779,0.22334329,0.28225448,0.23210428544208192,0.6213988992712939,139.0,0.99999495,0.9117779
2875,0.9117779,0.21130621,0.27650075,0.23634166616298355,0.6244178275079025,140.0,0.99999456,0.9117779
3137,0.9117779,0.25882475,0.27104661,0.25199121897931864,0.6252017634768217,153.0,0.99999461,0.9117779
3193,0.9117779,0.24084785,0.26187084,0.25752068482197554,0.6275367864423923,156.0,0.99999438,0.9117779
3293,0.9117779,0.23593398,0.25538556,0.25890598668473974,0.6237755775610703,161.0,0.99999417,0.9117779
3440,0.9117779,0.22729488,0.24432949,0.26723037417341466,0.6252427441061552,168.0,0.9999937,0.9117779
3852,0.9117779,0.24608895,0.2263517,0.2909823938389645,0.6313477032484142,188.0,0.99999246,0.9117779
4583,0.9117779,0.25637294,0.20760544,0.32802675797980946,0.6429275988666636,223.0,0.99998518,0.9117779
5072,0.9117779,0.31620381,0.19709641,0.3252642974246791,0.625679098801736,247.0,0.99998536,0.9117779
6100,0.9117779,0.32249543,0.17250357,0.3319879179591462,0.6076946217233935,297.0,0.99993266,0.9117779
6596,0.9117779,0.36187817,0.16987487,0.33906269380733145,0.6048901085525505,321.0,0.99992451,0.9117779
7265,0.9117779,0.38761403,0.16312055,0.3408274596681745,0.5946564112995674,354.0,0.99988153,0.9117779
9106,0.9117779,0.37973913,0.14156677,0.372140624170564,0.5997816220497383,445.0,0.99919232,0.9117779
11866,0.9117779,0.4282404,0.12546563,0.3816324177129472,0.5817009156203862,582.0,0.9978017,0.9117779
18492,0.9117779,0.61826457,0.10528949,0.39088660860570906,0.5519397128613892,909.0,0.99748305,0.9117779
24933,0.9117779,0.70901787,0.10136146,0.39188227565077005,0.5309473063427991,1226.0,0.99696094,0.9117779
41152,0.9117779,0.78073073,0.08406879,0.40422989885039506,0.5128863345973734,2021.0,0.99363734,0.9117779
54434,0.9117779,0.78168519,0.06745569,0.4165908481559428,0.5112365327964382,2670.0,0.98794198,0.9117779
94710,0.9117779,0.81592768,0.05001603,0.43150017825722026,0.5033476571478376,4648.0,0.97804652,0.9117779
162645,0.9117779,0.82959421,0.03803553,0.4415175442234032,0.49642039371453467,7974.0,0.96393233,0.9117779
283653,0.9117779,0.85301918,0.02651197,0.4516172322911752,0.49319798120003405,13917.0,0.95438203,0.9117779
490209,0.9117779,0.86764989,0.0222934,0.4556561432276273,0.4873055263491582,24036.0,0.94540876,0.9117779
915971,0.9117779,0.88035949,0.01680063,0.460488454518799,0.48365408445670216,44882.0,0.93732852,0.9117779
1757444,0.9117779,0.89411109,0.01191233,0.4642564894168416,0.48098190987730605,86119.0,0.93398818,0.9117779
3427109,0.9117779,0.89866744,0.00823202,0.46745475886721094,0.47943350938901635,167911.0,0.92760079,0.9117779
6724688,0.9117779,0.90518448,0.00703409,0.46915339344254786,0.4777057180935204,329427.0,0.92553085,0.9117779
13214706,0.9117779,0.90617386,0.00456921,0.47132051452089385,0.4774213163773482,647391.0,0.92092217,0.9117779
20412849,0.9117779,0.90660083,0.00338861,0.4725420654566923,0.4774508346711054,1000000.0,0.9185636,0.9117779
