Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.99221266,0.0,0.55037904,1.0E-8,0.99999999,0.0,0.99999995,0.99221266
21,0.99221266,0.0,0.55037904,1.0E-8,0.99999999,1.0,0.99999995,0.99221266
39,0.99221266,0.0,0.55037904,1.0E-8,0.99999999,2.0,0.99999995,0.99221266
60,0.99221266,0.0,0.55036535,1.0E-8,0.99999999,3.0,1.0,0.99221266
81,0.99221266,0.0,0.55029157,1.0E-8,0.969877739522266,4.0,1.0,0.99221266
97,0.99221266,0.0,0.55027969,1.0E-8,0.9831813280355043,5.0,1.0,0.99221266
118,0.99221266,0.0,0.55023916,1.0E-8,0.9534485776702964,6.0,1.0,0.99221266
139,0.99221266,0.0,0.55023992,1.0E-8,0.9658599376952823,7.0,1.0,0.99221266
160,0.99221266,0.0,0.55020767,1.0E-8,0.93864344903171,8.0,1.0,0.99221266
181,0.99221266,0.0,0.55020812,0.012674605040721487,0.9502883579222414,9.0,1.0,0.99221266
202,0.99221266,0.0,0.5501942,0.0033585062023366863,0.9252129223690919,10.0,1.0,0.99221266
223,0.99221266,0.0,0.5500751,0.029326663474387504,0.9361905779049229,11.0,1.0,0.99221266
244,0.99221266,0.0,0.55003992,0.05370914981979946,0.9462908501802005,12.0,1.0,0.99221266
265,0.99221266,0.0,0.5500687,0.044394118469016364,0.9233478170148546,13.0,1.0,0.99221266
286,0.99221266,0.0,0.55006536,0.03578427881419449,0.9017157211858056,14.0,1.0,0.99221266
307,0.99221266,0.0,0.5500278,0.0581128110728486,0.9115841586241211,15.0,1.0,0.99221266
328,0.99221266,0.0,0.54993545,0.04982118656887857,0.8913552840193567,16.0,1.0,0.99221266
370,0.99221266,0.0,0.54983849,0.03489987278921386,0.853989016099675,18.0,0.99999954,0.99221266
391,0.99221266,0.0,0.54980238,0.05519955529313342,0.8637193636257856,19.0,0.99999996,0.99221266
433,0.99221266,0.0,0.54964598,0.06726182426933958,0.8558150988075836,21.0,0.99999986,0.99221266
454,0.99221266,0.0,0.54962888,0.06044540896819711,0.839554591031803,22.0,0.99999984,0.99221266
475,0.99221266,0.0,0.54960558,0.054026150001892204,0.8240226304859126,23.0,0.99999992,0.99221266
517,0.99221266,0.0,0.54956967,0.06551497565963876,0.8182059545729194,25.0,0.99999988,0.99221266
579,0.99221266,0.0,0.54946166,0.09212678585897299,0.8209166924018965,28.0,0.99999998,0.99221266
616,0.99221266,1.0E-8,0.54939697,0.10130065318917286,0.8153660134774938,30.0,0.99999972,0.99221266
657,0.99221266,8.0E-8,0.54936813,0.10990065326049903,0.810099346739501,32.0,0.99999999,0.99221266
675,0.99221266,2.0E-7,0.54930121,0.12380744067057153,0.8173690299176637,33.0,0.99999999,0.99221266
780,0.99221266,5.6E-7,0.5491737,0.13278919288756902,0.7957822356838595,38.0,0.99999994,0.99221266
817,0.99221266,6.2E-7,0.54908511,0.13959248691017118,0.7914419958484495,40.0,0.99999996,0.99221266
854,0.99221266,1.42E-6,0.54907684,0.12937518824639577,0.7706248117536043,42.0,0.99999992,0.99221266
875,0.99221266,1.34E-6,0.54903641,0.12455295915750647,0.7606929424818378,43.0,0.99999988,0.99221266
959,0.99221266,1.12E-6,0.54884134,0.15310920226123237,0.7699677208156908,47.0,1.0,0.99221266
1001,0.99221266,9.1E-7,0.54874898,0.15876016649716312,0.766612967831195,49.0,1.0,0.99221266
1043,0.99221266,1.02E-6,0.54866434,0.17864570008553354,0.7778760390449013,51.0,1.0,0.99221266
1127,0.99221266,8.6E-7,0.54851102,0.20163472231433743,0.7846666475486762,55.0,1.0,0.99221266
1148,0.99221266,7.9E-7,0.54848511,0.1968947426709331,0.7760782303020399,56.0,1.0,0.99221266
1251,0.99221266,8.3E-7,0.54817308,0.20050129241102205,0.7615240240446741,61.0,0.99999998,0.99221266
1377,0.99221266,4.8E-7,0.54758465,0.18815775310074428,0.7294893057227851,67.0,0.99999998,0.99221266
1456,0.99221266,9.8E-7,0.54740328,0.18478797206465059,0.7140884324297314,71.0,1.0,0.99221266
1603,0.99221266,1.42E-6,0.54698621,0.21372665703988541,0.7237733429601145,78.0,0.99999996,0.99221266
1645,0.99221266,1.6E-6,0.54697843,0.2169275258668974,0.7218479843371843,80.0,0.99999995,0.99221266
1666,0.99221266,1.59E-6,0.54694489,0.22354015760956786,0.7259547918853817,81.0,0.99999995,0.99221266
1787,0.99221266,6.03E-6,0.54668903,0.2226041510322207,0.7107291823011126,87.0,0.99999998,0.99221266
1871,0.99221266,1.074E-5,0.54648434,0.21909095114223004,0.6983402415183204,91.0,0.99999999,0.99221266
2036,0.99221266,1.596E-5,0.54606166,0.23865555738621638,0.7015153827847238,99.0,0.99999998,0.99221266
2115,0.99221266,2.582E-5,0.5458278,0.24343865750278124,0.6987101028277972,103.0,0.99999998,0.99221266
2608,0.99221266,5.905E-5,0.54504932,0.22625707103699721,0.6427084462043821,127.0,0.99999995,0.99221266
2666,0.99221266,5.677E-5,0.54499153,0.2262995184417079,0.638565346423157,130.0,0.99999991,0.99221266
2854,0.99221266,7.125E-5,0.54478598,0.22653760723099123,0.6269655774823846,139.0,0.99999989,0.99221266
2875,0.99221266,7.042E-5,0.54475673,0.23079241108762252,0.6299670825832636,140.0,0.99999989,0.99221266
3137,0.99221266,9.087E-5,0.54421182,0.24665453326006806,0.6305384491960723,153.0,0.99999999,0.99221266
3193,0.99221266,1.558E-4,0.54406923,0.2522296777094376,0.6328277935549302,156.0,0.99999999,0.99221266
3293,0.99221266,1.9497E-4,0.5439068,0.25368857157220515,0.6289929926736049,161.0,0.99999999,0.99221266
3440,0.99221266,1.538E-4,0.54358271,0.26211101318508134,0.6303621050944885,168.0,0.99999998,0.99221266
3852,0.99221266,2.037E-4,0.54294268,0.2861153751739388,0.6362147219134399,188.0,0.9999999,0.99221266
4583,0.99221266,3.6705E-4,0.54203912,0.3235238658581424,0.6474304909883306,223.0,0.99999996,0.99221266
5072,0.99221266,4.7771E-4,0.54138786,0.32096854693210114,0.629974849294314,247.0,0.99999994,0.99221266
6100,0.99221266,7.139E-4,0.54037327,0.3280454783620512,0.6116370613204885,297.0,0.9999999,0.99221266
6596,0.99221266,0.00100037,0.53989689,0.3352615220854387,0.6086912802744433,321.0,0.99999999,0.99221266
7265,0.99221266,0.0013311,0.53930122,0.33719785873305763,0.5982860122346843,354.0,0.99999999,0.99221266
9106,0.99221266,0.0028991,0.53767616,0.36888549518128677,0.6030367510390156,445.0,0.99999999,0.99221266
11866,0.99221266,0.00604909,0.53640624,0.37877155884548913,0.5845617744878443,582.0,0.99999994,0.99221266
18492,0.99221266,0.01526096,0.53410433,0.38858364633898235,0.5542426751281159,909.0,0.99999992,0.99221266
24933,0.99221266,0.02334294,0.53233913,0.3898937295759518,0.5329358524176173,1226.0,0.99999996,0.99221266
41152,0.99221266,0.037377,0.52956315,0.4026761773451886,0.5144400561025799,2021.0,0.99999999,0.99221266
54434,0.99221266,0.04204628,0.52780818,0.4152374719422838,0.5125899090100972,2670.0,0.99999997,0.99221266
94710,0.99221266,0.05983342,0.52494887,0.43047280263717724,0.5043750327678806,4648.0,0.99999999,0.99221266
162645,0.99221266,0.07649151,0.52263381,0.44073246658520304,0.49720547135273485,7974.0,0.99999993,0.99221266
283653,0.99221266,0.09303594,0.52090839,0.4510226526573215,0.49379256083388773,13917.0,0.99999999,0.99221266
490209,0.99221266,0.10628689,0.51937557,0.4552035761353572,0.4877580934414283,24036.0,0.99999997,0.99221266
915971,0.99221266,0.11675274,0.51812473,0.4601571999808719,0.48398533899462926,44882.0,1.0,0.99221266
1757444,0.99221266,0.12864785,0.51715054,0.46401732599063134,0.4812210733035163,86119.0,1.0,0.99221266
3427109,0.99221266,0.13635302,0.51645982,0.46728346995861314,0.47960479829761415,167911.0,0.99999999,0.99221266
6724688,0.99221266,0.14201499,0.51595233,0.4690311003575744,0.4778280111784939,329427.0,0.99999999,0.99221266
13214706,0.99221266,0.14672189,0.51556543,0.4712332767334751,0.47750855416476695,647391.0,0.99999999,0.99221266
20412849,0.99221266,0.1488454,0.5153953,0.4724718730171916,0.47752102711060607,1000000.0,0.99999999,0.99221266
