Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.99221266,0.0,0.55037904,1.0E-8,0.99999999,0.0,0.99999995,0.99221266
39,0.99221266,0.0,0.55037904,1.0E-8,0.99999999,2.0,0.99999995,0.99221266
60,0.99221266,0.0,0.55037904,1.0E-8,0.99999999,3.0,0.99999995,0.99221266
81,0.99221266,0.0,0.54612501,1.0E-8,0.9927924717877967,4.0,0.99999995,0.99221266
139,0.99221266,0.0013023,0.51727131,0.005996506090084175,0.8145163144227363,7.0,1.0,0.99221266
181,0.99221266,0.00119988,0.44549741,0.10296731985583957,0.8170326801441605,9.0,0.999998,0.99221266
202,0.99221266,0.0032635,0.41623235,0.10906439943417251,0.7837927434229703,10.0,0.99999822,0.99221266
307,0.99221266,0.01528807,0.37749731,0.22454330703905995,0.7754566929609401,15.0,0.99999737,0.99221266
370,0.99221266,0.0317945,0.31681439,0.22697169990234994,0.7244846107772618,18.0,0.99999605,0.99221266
433,0.99221266,0.03692695,0.2877407,0.24453639595831117,0.7054636040416888,21.0,0.99999508,0.99221266
475,0.99221266,0.0288733,0.29575051,0.26904207490989973,0.7153329250901003,23.0,0.99999378,0.99221266
780,0.99221266,0.20239364,0.24929096,0.34418109586101875,0.6942804426005198,38.0,0.99999128,0.99221266
875,0.99221266,0.30175575,0.22436869,0.3314251003139444,0.6601003234148692,43.0,0.99999178,0.99221266
1251,0.99221266,0.34508647,0.18553434,0.3546035554340774,0.6304710714315942,61.0,0.99998766,0.99221266
1377,0.99221266,0.43324955,0.18504787,0.330465929973526,0.5901689906613946,67.0,0.9999877,0.99221266
1787,0.99221266,0.5554308,0.16831191,0.3426931593541389,0.5689534269912426,87.0,0.99998688,0.99221266
1871,0.99221266,0.61421363,0.16188835,0.3420023131217177,0.562577839550038,91.0,0.99998712,0.99221266
2875,0.99221266,0.7459747,0.1244993,0.37324182996395994,0.5517581700360401,140.0,0.9999839,0.99221266
3193,0.99221266,0.81259735,0.12091418,0.36832582688018106,0.5369138609682025,156.0,0.99998411,0.99221266
5072,0.99221266,0.88530881,0.09144379,0.3952778013215529,0.5293169837383485,247.0,0.99997005,0.99221266
10639,0.99221266,0.91691923,0.06409078,0.42708006990391467,0.520360203133628,520.0,0.99956967,0.99221266
26284,0.99221266,0.97445108,0.04536613,0.43528043575537745,0.49431628331502586,1292.0,0.99934688,0.99221266
70572,0.99221266,0.97811711,0.02380133,0.4571092743274551,0.49331754866956234,3462.0,0.99727306,0.99221266
193214,0.99221266,0.98663024,0.01504874,0.46207901777949967,0.48393274648560847,9475.0,0.99629954,0.99221266
483133,0.99221266,0.98916473,0.01025991,0.4653357395993773,0.4791569923053132,23691.0,0.99518382,0.99221266
1377277,0.99221266,0.9904097,0.0055979,0.4704700824791559,0.47866140504584676,67494.0,0.99405139,0.99221266
4215427,0.99221266,0.99110407,0.00311977,0.4728001678168521,0.47748240356552907,206512.0,0.99322209,0.99221266
12491342,0.99221266,0.99160236,0.00210602,0.47393093306296563,0.4766511980430834,611943.0,0.99282971,0.99221266
20412849,0.99221266,0.99172051,0.00149277,0.47405253050827306,0.47618036762250365,1000000.0,0.99268278,0.99221266
