Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,13291.63617861,13290.75011004,0.52003023,0.5,0.5,0.0,21.50618384,561.71800039
24,13291.63617861,13290.75011004,0.4957131,0.5,0.5,1.0,20.00000039,561.71800039
125,13291.63617861,13290.75011004,0.39780442,0.5,0.5,2.0,20.00000039,561.71800039
226,13291.63617861,13290.75011004,0.37010606,0.5,0.5,3.0,20.00000039,561.71800039
371,630.97976791,13035.25782824,0.34412148,0.5,0.5,5.0,21.50618384,26258.49826436
674,630.97976791,12812.80563447,0.337495,0.5,0.5,8.0,21.50618384,26258.49826436
775,886.68233917,12777.58665428,0.16967105,0.5,0.5,9.0,75.8982259,561.71800039
876,886.68233917,12556.75623189,0.14937845,0.5,0.5,10.0,75.89824763,561.71800039
1434,561.71800039,11072.9172715,0.12888479,0.5,0.5,16.0,106.90171855,561.71800039
2393,561.71800039,8530.79297061,0.11653135,0.5,0.5,26.0,165.19253742,561.71800039
4514,561.71800039,4662.24154499,0.10341179,0.5,0.5,47.0,227.71445142,561.71800039
6750,561.71800039,3812.12393112,0.10020754,0.5,0.5,72.0,313.43868226,561.71800039
11597,561.71800039,2412.60435147,0.09353012,0.5,0.5,122.0,362.41451524,561.71800039
19024,561.71800039,1319.49515936,0.08490698,0.5,0.5,204.0,312.1583949,561.71800039
37290,561.71800039,1016.31556857,0.08104822,0.5,0.5,397.0,367.1031069,561.71800039
71324,561.71800039,848.17836604,0.07831669,0.5,0.5,756.0,406.47271088,561.71800039
141929,561.71800039,768.98482043,0.0768151,0.5,0.5,1504.0,456.40693005,561.71800039
274026,561.71800039,698.7927859,0.07533393,0.5,0.5,2892.0,480.35404881,561.71800039
529536,561.71800039,660.37019994,0.07445169,0.5,0.5,5583.0,504.29292644,561.71800039
1048479,561.71800039,618.97689107,0.07343523,0.5,0.5,11048.0,511.21457074,561.71800039
2037220,561.71800039,610.13647724,0.07320838,0.5,0.5,21480.0,531.74934434,561.71800039
4034854,561.71800039,593.40644748,0.0727689,0.5,0.5,42550.0,538.1771484,561.71800039
8059165,561.71800039,582.3990846,0.07247219,0.5,0.5,85000.0,543.51907822,561.71800039
16069974,561.71800039,576.37433645,0.07230714,0.5,0.5,169480.0,548.86217763,561.71800039
31915549,561.71800039,572.94720769,0.07221239,0.5,0.5,336823.0,553.40136761,561.71800039
63670342,561.71800039,569.2763116,0.0721102,0.5,0.5,671974.0,555.45783635,561.71800039
94771481,561.71800039,568.25405538,0.07208161,0.5,0.5,1000000.0,556.9234948,561.71800039
