Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,13291.63617861,19998.9998,0.69124231,1.0E-8,0.99999999,0.0,20.00000039,13291.63617861
21,13291.63617861,18522.77794951,0.68895751,0.08901339694381938,0.9109866030561806,1.0,20.00000039,10450.13368565
84,13291.63617861,16295.91718202,0.6868937,0.33554107632470065,0.8589033681197438,4.0,20.00000039,10450.13368565
105,12566.69301689,16175.76970191,0.68046194,0.33554107632470065,0.8589033681197438,5.0,20.00000039,25170.65339693
147,11995.77841075,15564.52510704,0.66925854,0.33554107632470065,0.8589033681197438,7.0,20.00000039,10485.56349484
168,11995.77841075,15549.99006517,0.66370681,0.33554107632470065,0.8589033681197438,8.0,20.00000039,10485.56349484
210,11867.29009994,15254.03390736,0.65472743,0.33554107632470065,0.8589033681197438,10.0,20.13336113,10821.71684968
441,10700.59141209,14463.63445042,0.6363173,0.33554107632470065,0.8589033681197438,21.0,20.17669851,11145.0907812
462,10700.59141209,14399.59934628,0.63298466,0.33554107632470065,0.8589033681197438,22.0,20.23159676,10902.92882545
504,10700.59141209,14392.1387287,0.62842224,0.33554107632470065,0.8589033681197438,24.0,20.46530806,10236.1581207
735,11120.80408189,14284.31939599,0.61729327,0.33554107632470065,0.8589033681197438,35.0,20.506058,10358.50425957
819,11120.80408189,14110.63873893,0.61169459,0.33554107632470065,0.8589033681197438,39.0,20.49851607,10335.84977229
1092,11120.80408189,13726.0023854,0.60003397,0.33554107632470065,0.8589033681197438,52.0,20.56090233,10372.79600862
1323,11577.31343024,13600.75775769,0.59104737,0.33554107632470065,0.8589033681197438,63.0,21.13390585,10082.59657378
1428,11120.80408189,13543.46232539,0.58871295,0.33554107632470065,0.8589033681197438,68.0,21.30631932,9832.62890344
1575,10707.67885031,13442.29321968,0.58405532,0.33554107632470065,0.8589033681197438,75.0,21.3674222,8947.52436018
2415,10705.30057532,13161.80160043,0.56955792,0.33554107632470065,0.8589033681197438,115.0,22.07307022,10068.70723356
3045,10705.30057532,13022.33018814,0.5610062,0.33554107632470065,0.8589033681197438,145.0,22.05078702,10471.25515134
3087,10104.17042002,13028.36565179,0.5586765,0.33554107632470065,0.8589033681197438,147.0,22.49674791,10823.05308057
3360,10705.30057532,13025.57425131,0.55221244,0.33554107632470065,0.8589033681197438,160.0,22.82367047,10754.19701793
3486,10705.30057532,13023.92877283,0.54751154,0.33554107632470065,0.8589033681197438,166.0,23.43518111,9382.53531908
