Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,13291.63617861,13290.75011004,0.52457565,0.5,0.5,0.0,20.00000039,561.71800039
21,13291.63617861,13290.75011004,0.36754741,0.5,0.5,1.0,20.00000039,10734.6064993
42,630.97976791,13180.6768399,0.35230397,0.5,0.5,2.0,20.00000039,10733.7330861
63,630.97976791,13059.23757355,0.34726632,0.5,0.5,3.0,20.00000039,10710.71063315
105,630.97976791,12629.36227191,0.33572199,0.5,0.5,5.0,20.00000039,10710.71140069
189,561.71800039,8582.97756759,0.24594146,0.5,0.5,9.0,20.87710171,561.71800039
210,561.71800039,8203.84234442,0.2344909,0.5,0.5,10.0,24.14011964,561.71800039
629,561.71800039,3129.0335378,0.20377223,0.5,0.5,30.0,83.66412047,561.71800039
880,561.71800039,2363.73238312,0.19821196,0.5,0.5,42.0,109.60747985,561.71800039
2789,561.71800039,1219.60585868,0.18533088,0.5,0.5,133.0,216.21323119,561.71800039
7764,561.71800039,1066.15129576,0.17907225,0.5,0.5,370.0,369.15800166,561.71800039
22817,561.71800039,792.33206101,0.17458406,0.5,0.5,1087.0,428.930172,561.71800039
62009,561.71800039,695.34313379,0.17256609,0.5,0.5,2954.0,479.40335408,561.71800039
190700,561.71800039,637.59615278,0.17121064,0.5,0.5,9084.0,515.84932897,561.71800039
571686,561.71800039,612.70978484,0.17058394,0.5,0.5,27232.0,542.09702534,561.71800039
1587095,561.71800039,588.38004242,0.16994333,0.5,0.5,75604.0,546.76283184,561.71800039
4524237,561.71800039,571.63269566,0.16962169,0.5,0.5,215522.0,547.36477261,561.71800039
13133554,561.71800039,568.52788502,0.16942274,0.5,0.5,625653.0,554.22908155,561.71800039
20991786,561.71800039,567.51501372,0.16937006,0.5,0.5,1000000.0,556.19441787,561.71800039
