Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.0,1.0,0.56648598,1.0E-8,0.99999999,0.0,0.0,0.0
145,0.0,1.0,0.56629435,1.0E-8,0.99999999,3.0,0.0,0.0
584,0.0,0.99117079,0.56502678,1.0E-8,0.99999999,17.0,0.0,0.0
805,0.0,0.99117076,0.56456541,1.0E-8,0.99999999,22.0,0.0,0.0
1320,0.0,0.9887543,0.56330726,1.0E-8,0.99999999,36.0,0.0,0.0
1562,0.0,0.98647519,0.56295677,1.0E-8,0.99999999,41.0,0.0,0.0
1749,0.0,0.98647267,0.56222204,1.0E-8,0.99999999,49.0,0.0,0.0
2349,0.0,0.9863999,0.56091609,1.0E-8,0.99999999,65.0,0.0,0.0
2508,0.0,0.9828828,0.56043641,1.0E-8,0.99999999,70.0,0.0,0.0
2766,0.0,0.98240315,0.55972319,1.0E-8,0.99999999,73.0,0.0,0.0
3061,0.0,0.98211411,0.55913084,1.0E-8,0.99999999,77.0,0.0,0.0
3690,0.0,0.98013702,0.55770026,1.0E-8,0.99999999,91.0,0.0,0.0
3992,0.0,0.97936905,0.5570592,1.0E-8,0.99999999,96.0,0.0,0.0
4244,0.0,0.97936905,0.55658169,1.0E-8,0.99999999,101.0,0.0,0.0
4382,0.0,0.97936905,0.55635209,1.0E-8,0.99999999,103.0,0.0,0.0
4674,0.0,0.97936905,0.55571369,1.0E-8,0.99999999,108.0,0.0,0.0
5137,0.0,0.97937058,0.55445746,1.0E-8,0.99999999,117.0,0.0,0.0
5848,0.0,0.97937064,0.55309893,1.0E-8,0.99999999,130.0,0.0,0.0
6141,0.0,0.97758243,0.55248016,1.0E-8,0.99999999,137.0,0.0,0.0
6510,0.0,0.97832288,0.55157732,1.0E-8,0.99999999,143.0,0.0,0.0
6788,0.0,0.97719736,0.55105822,1.0E-8,0.99999999,149.0,0.0,0.0
7183,0.0,0.9766038,0.55030727,1.0E-8,0.99999999,154.0,0.0,0.0
7425,0.0,0.97649088,0.54978155,1.0E-8,0.99999999,158.0,0.0,0.0
7707,0.0,0.97755497,0.54909501,1.0E-8,0.99999999,163.0,0.0,0.0
7995,0.0,0.97741003,0.54859189,1.0E-8,0.99999999,167.0,0.0,0.0
8289,0.0,0.97718065,0.54805258,1.0E-8,0.99999999,172.0,0.0,0.0
8623,0.0,0.97748337,0.54731994,1.0E-8,0.99999999,177.0,0.0,0.0
9136,0.0,0.9774833,0.54638122,1.0E-8,0.99999999,187.0,0.0,0.0
9288,0.0,0.97641035,0.54621298,1.0E-8,0.99999999,191.0,0.0,0.0
9554,0.0,0.97701861,0.54576207,1.0E-8,0.99999999,195.0,0.0,0.0
9872,0.0,0.97580688,0.54517205,1.0E-8,0.99999999,200.0,0.0,0.0
10604,0.0,0.97178696,0.54380889,1.0E-8,0.99999999,219.0,0.0,0.0
11011,0.0,0.9682431,0.5430756,1.0E-8,0.99999999,227.0,0.0,0.0
11342,0.0,0.9682431,0.54223706,1.0E-8,0.99999999,235.0,0.0,0.0
11522,0.0,0.9682431,0.54172486,1.0E-8,0.99999999,238.0,0.0,0.0
11696,0.0,0.96739406,0.54136121,1.0E-8,0.99999999,240.0,0.0,0.0
11898,0.0,0.96655027,0.54100646,1.0E-8,0.99999999,242.0,0.0,0.0
12182,0.0,0.96653392,0.54038662,1.0E-8,0.99999999,247.0,0.0,0.0
12757,0.0,0.9662665,0.53881397,1.0E-8,0.99999999,260.0,0.0,0.0
13560,0.0,0.96614873,0.53723477,1.0E-8,0.99999999,276.0,0.0,0.0
14021,0.0,0.9664159,0.53606379,1.0E-8,0.99999999,286.0,0.0,0.0
14619,0.0,0.96559331,0.53492411,1.0E-8,0.99999999,296.0,0.0,0.0
15170,0.0,0.96380851,0.53412487,1.0E-8,0.99999999,309.0,0.0,0.0
15448,0.0,0.96372102,0.53357387,1.0E-8,0.99999999,314.0,0.0,0.0
15728,0.0,0.9626608,0.53289985,1.0E-8,0.99999999,321.0,0.0,0.0
16072,0.0,0.9626608,0.53215766,1.0E-8,0.99999999,330.0,0.0,0.0
16173,0.0,0.9626608,0.53184969,1.0E-8,0.99999999,331.0,0.0,0.0
16634,0.0,0.9626608,0.53070697,1.0E-8,0.99999999,337.0,0.0,0.0
16943,0.0,0.95904043,0.52996507,1.0E-8,0.99999999,345.0,0.0,0.0
17637,0.0,0.95904043,0.52883277,1.0E-8,0.99999999,356.0,0.0,0.0
18380,0.0,0.95943564,0.52720665,1.0E-8,0.99999999,372.0,0.0,0.0
18770,0.0,0.95701421,0.5264277,1.0E-8,0.99999999,384.0,0.0,0.0
19217,0.0,0.95619362,0.52558348,1.0E-8,0.99999999,394.0,0.0,0.0
19916,0.0,0.95486571,0.52434919,1.0E-8,0.99999999,409.0,0.0,0.0
20636,0.0,0.95454212,0.52341602,1.0E-8,0.99999999,422.0,0.0,0.0
21595,0.0,0.95345903,0.52186536,1.0E-8,0.99999999,444.0,0.0,0.0
22338,0.0,0.95377722,0.52095347,1.0E-8,0.99999999,458.0,0.0,0.0
23331,0.0,0.95377411,0.51946332,1.0E-8,0.99999999,479.0,0.0,0.0
25088,0.0,0.95377198,0.51675823,1.0E-8,0.99999999,522.0,0.0,0.0
25730,0.0,0.9436406,0.51563825,1.0E-8,0.99999999,535.0,0.0,0.0
29617,0.0,0.88833837,0.51343053,1.0E-8,0.99999999,615.0,0.0,0.0
30013,0.0,0.8856545,0.51274783,1.0E-8,0.99999999,627.0,0.0,0.0
30598,0.0,0.8856545,0.51175394,1.0E-8,0.99999999,641.0,0.0,0.0
33208,0.0,0.8856545,0.50799865,1.0E-8,0.99999999,703.0,0.0,0.0
33567,0.0,0.88698152,0.5073485,1.0E-8,0.99999999,709.0,0.0,0.0
35137,0.0,0.87873925,0.50465764,1.0E-8,0.99999999,749.0,0.0,0.0
36238,0.0,0.87834899,0.50311246,1.0E-8,0.99999999,772.0,0.0,0.0
37129,0.0,0.87900182,0.50186297,1.0E-8,0.99999999,786.0,0.0,0.0
37615,0.0,0.88038843,0.50116912,1.0E-8,0.99999999,797.0,0.0,0.0
39112,0.0,0.87544686,0.4997005,1.0E-8,0.99999999,831.0,0.0,0.0
39721,0.0,0.87542225,0.49888841,1.0E-8,0.99999999,847.0,0.0,0.0
44667,0.0,0.86181836,0.4953482,1.0E-8,0.99999999,957.0,0.0,0.0
45289,0.0,0.86097921,0.49449987,1.0E-8,0.99999999,976.0,8.0E-8,0.0
47537,0.0,0.84796054,0.49199043,1.0E-8,0.99999999,1035.0,8.0E-8,0.0
47638,0.0,0.84750693,0.49162374,1.0E-8,0.99999999,1036.0,8.0E-8,0.0
48052,0.0,0.84480196,0.49086753,1.0E-8,0.99999999,1042.0,8.0E-8,0.0
48636,0.0,0.84051779,0.4900312,1.0E-8,0.99999999,1056.0,6.0E-8,0.0
51576,0.0,0.841625,0.48597572,1.0E-8,0.99999999,1125.0,2.0E-8,0.0
52119,0.0,0.84286775,0.48519518,1.0E-8,0.99999999,1139.0,4.0E-7,0.0
53814,0.0,0.84401508,0.4829381,1.0E-8,0.99999999,1183.0,4.0E-7,0.0
56048,0.0,0.84628995,0.48016956,1.0E-8,0.99999999,1228.0,6.8E-7,0.0
59176,0.0,0.8447126,0.47753903,1.0E-8,0.99999999,1291.0,7.5E-7,0.0
68465,0.0,0.82774046,0.471236,1.0E-8,0.99999999,1491.0,1.4E-6,0.0
70760,0.0,0.81156869,0.4694598,1.0E-8,0.99999999,1546.0,1.54E-6,0.0
73867,0.0,0.78731311,0.46664161,1.0E-8,0.99999999,1625.0,3.19E-6,0.0
76315,0.0,0.77213135,0.4646197,1.0E-8,0.99999999,1685.0,4.08E-6,0.0
81836,0.0,0.72951345,0.46099745,1.0E-8,0.99999999,1828.0,8.18E-6,0.0
85792,0.0,0.71337313,0.45862988,1.0E-8,0.99999999,1917.0,1.005E-5,0.0
89451,0.0,0.71387759,0.4559998,1.0E-8,0.99999999,1985.0,1.433E-5,0.0
