Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.0,0.0,0.56648598,1.0E-8,0.99999999,0.0,0.0,0.0
145,0.0,0.0,0.54160759,0.07463519496430648,0.99999999,3.0,0.0,0.0
584,0.0,0.0,0.48466731,0.2454560118596526,0.8878773214736807,17.0,0.0,0.0
719,0.0,0.0,0.46310598,0.2644932581444578,0.8967970644361875,19.0,0.0,0.0
808,0.0,0.0,0.46310598,0.2644932581444578,0.8967970644361875,23.0,0.0,0.0
901,0.0,0.0,0.46310598,0.2644932581444578,0.8967970644361875,27.0,0.0,0.0
1011,0.0,0.0,0.47832157,0.2644932581444578,0.8967970644361875,29.0,0.0,0.0
1149,0.0,0.0,0.46454076,0.2644932581444578,0.8967970644361875,34.0,0.0,0.0
1525,0.0,5.8E-7,0.41672776,0.2644932581444578,0.8967970644361875,45.0,5.8E-7,0.0
1970,0.0,4.21E-6,0.38230481,0.2644932581444578,0.8967970644361875,59.0,4.21E-6,0.0
2160,0.0,6.21E-6,0.38835213,0.2644932581444578,0.8967970644361875,69.0,6.21E-6,0.0
2346,0.0,1.041E-5,0.3873972,0.26735803023068505,0.8594025331495967,78.0,1.041E-5,0.0
2832,0.0,1.494E-5,0.39029416,0.2557885735690233,0.8044523902863985,90.0,1.494E-5,0.0
3723,0.0,0.00102024,0.31332704,0.300255981018286,0.7699194575782052,121.0,0.00102024,0.0
8408,0.0,9.1447E-4,0.22920318,0.3667731339099046,0.6981619310251602,238.0,9.1447E-4,0.0
9118,0.0,9.2313E-4,0.2249653,0.3794867908972829,0.6950230130242857,262.0,9.2313E-4,0.0
9928,0.0,0.00879586,0.20233162,0.3794867908972829,0.6950230130242857,290.0,0.00879586,0.0
13678,0.0,0.01599141,0.16353321,0.4078438513379893,0.671175222231493,402.0,0.01599141,0.0
15352,0.0,0.01712912,0.15379696,0.4078438513379893,0.671175222231493,437.0,0.01712912,0.0
18620,0.0,0.01714999,0.15209683,0.4078438513379893,0.671175222231493,538.0,0.01714999,0.0
28016,0.0,0.02034691,0.12000203,0.49200684258310573,0.6677994528164098,824.0,0.02034691,0.0
29114,0.0,0.02124597,0.11718516,0.49689745574101124,0.665324766481211,860.0,0.02124597,0.0
31801,0.0,0.02161045,0.11579935,0.5045932533705022,0.6617510406333662,937.0,0.02161045,0.0
33230,0.0,0.02158088,0.11126907,0.5112752348464249,0.6625598906016037,983.0,0.02158088,0.0
46056,0.0,0.02898635,0.10895797,0.5305091620925626,0.6468333471715983,1385.0,0.02898635,0.0
65449,0.0,0.03462304,0.09785503,0.5437858952701641,0.637718590582148,2031.0,0.03462304,0.0
72845,0.0,0.04053961,0.08993032,0.5437084752400905,0.6319384045163783,2279.0,0.04053961,0.0
81438,0.0,0.04308935,0.08754219,0.545782882997018,0.6287860825202233,2553.0,0.04308935,0.0
83105,0.0,0.04441871,0.08724607,0.5450431658900388,0.6267584006895957,2598.0,0.04441871,0.0
105658,0.0,0.05485487,0.08563983,0.5440528553681349,0.6142885139664843,3305.0,0.05485487,0.0
106870,0.0,0.05455438,0.08585775,0.5449213927713445,0.6147809541090219,3348.0,0.05455438,0.0
255453,0.0,0.07334532,0.04747014,0.5618995302867131,0.605836076745657,8028.0,0.07334532,0.0
256178,0.0,0.07289814,0.04754405,0.5624525071318173,0.606306419426102,8053.0,0.07289814,0.0
348840,0.0,0.07604761,0.04068461,0.5660153673535112,0.6034975643910389,11001.0,0.07604761,0.0
358307,0.0,0.07625746,0.04048609,0.5664854835383253,0.6033719935941997,11309.0,0.07625746,0.0
1712894,0.0,0.09329723,0.01917932,0.5782673369201596,0.595014260747351,54349.0,0.09329723,0.0
1713258,0.0,0.09328789,0.01917598,0.5782747971266536,0.5950202526821115,54363.0,0.09328789,0.0
1829548,0.0,0.09416281,0.01882099,0.5781952179830067,0.5943932501418075,58060.0,0.09416281,0.0
1894791,0.0,0.0948107,0.01899484,0.578070352783872,0.5939883105555019,60156.0,0.0948107,0.0
1901497,0.0,0.09484986,0.01887158,0.5780513752443317,0.5939392330464166,60379.0,0.09484986,0.0
1902824,0.0,0.09490704,0.01888591,0.578018609948477,0.5939009065987395,60412.0,0.09490704,0.0
1991031,0.0,0.09370941,0.01848511,0.578568404834057,0.5940888601393007,63194.0,0.09370941,0.0
3115592,0.0,0.09455113,0.01536512,0.5804948305208097,0.5928792628676696,98887.0,0.09455113,0.0
3196125,0.0,0.09488174,0.01566407,0.5803612239115268,0.5925858617093118,101464.0,0.09488174,0.0
3201101,0.0,0.09489401,0.01553944,0.580390736223837,0.5926057825033118,101621.0,0.09489401,0.0
3213194,0.0,0.09469385,0.01546703,0.5805554085764759,0.5927474066066911,102036.0,0.09469385,0.0
3222266,0.0,0.09467434,0.01549349,0.580578784703448,0.5927534673066546,102353.0,0.09467434,0.0
16056216,0.0,0.10244737,0.00612511,0.584530828867136,0.5899798100726483,509807.0,0.10244737,0.0
16060383,0.0,0.10244688,0.00611445,0.584529916947034,0.589978133246173,509928.0,0.10244688,0.0
16061446,0.0,0.10245682,0.0061231,0.5845260596966035,0.5899740800798239,509961.0,0.10245682,0.0
16061850,0.0,0.10245514,0.00612346,0.5845271840903726,0.5899751665568239,509978.0,0.10245514,0.0
16175547,0.0,0.10250705,0.00610118,0.5845139676897224,0.5899403375679118,513470.0,0.10250705,0.0
16211583,0.0,0.10254781,0.00609241,0.5844942394479352,0.5899140333676277,514625.0,0.10254781,0.0
16299318,0.0,0.10257226,0.00609235,0.5844965212431922,0.5898999916253044,517386.0,0.10257226,0.0
16794415,0.0,0.10269184,0.00606664,0.5845203383247755,0.5898228802448762,532925.0,0.10269184,0.0
17123662,0.0,0.10272501,0.00604075,0.5845479208482646,0.589800607997402,543447.0,0.10272501,0.0
17207694,0.0,0.1027836,0.00602817,0.5845255575115498,0.58976286428131,546137.0,0.1027836,0.0
31486257,0.0,0.10440455,0.00441496,0.5850703454286436,0.5889518571929474,1000000.0,0.10440455,0.0
