Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.17181239,1.0,0.40002275,1.0E-8,0.3701542949487101,0.0,1.0,0.17181239
56,0.17181239,1.0,0.40000906,1.0E-8,0.3701542949487101,2.0,1.0,0.17181239
118,0.17181239,1.0,0.39999317,1.0E-8,0.3701542949487101,5.0,1.0,0.17181239
242,0.17181239,1.0,0.39993452,1.0E-8,0.3701542949487101,10.0,1.0,0.17181239
389,0.17181239,1.0,0.39988235,1.0E-8,0.3701542949487101,18.0,1.0,0.17181239
466,0.17181239,1.0,0.39984807,1.0E-8,0.3701542949487101,22.0,1.0,0.17181239
521,0.17181239,1.0,0.39981036,1.0E-8,0.3701542949487101,24.0,1.0,0.17181239
615,0.17181239,1.0,0.39975778,1.0E-8,0.3701542949487101,29.0,1.0,0.17181239
898,0.17181239,1.0,0.39963416,1.0E-8,0.3701542949487101,39.0,1.0,0.17181239
1047,0.17181239,1.0,0.39953391,1.0E-8,0.3701542949487101,46.0,1.0,0.17181239
1319,0.17181239,1.0,0.39928132,1.0E-8,0.3701542949487101,57.0,1.0,0.17181239
1734,0.17181239,1.0,0.39902724,1.0E-8,0.3701542949487101,76.0,1.0,0.17181239
2052,0.17181239,1.0,0.39890716,1.0E-8,0.3701542949487101,91.0,1.0,0.17181239
2196,0.17181239,1.0,0.39873706,1.0E-8,0.3701542949487101,96.0,1.0,0.17181239
3329,0.17181239,1.0,0.39801725,1.0E-8,0.3701542949487101,149.0,1.0,0.17181239
3694,0.17181239,1.0,0.39780977,1.0E-8,0.3701542949487101,166.0,1.0,0.17181239
4835,0.17181239,1.0,0.39722143,1.0E-8,0.3701542949487101,224.0,1.0,0.17181239
5189,0.17181239,1.0,0.39694626,1.0E-8,0.3701542949487101,238.0,1.0,0.17181239
6087,0.17181239,1.0,0.39651548,1.0E-8,0.3701542949487101,282.0,1.0,0.17181239
7074,0.17181239,0.99999999,0.3961534,1.0E-8,0.3701542949487101,331.0,0.99999999,0.17181239
7371,0.17181239,0.99999901,0.39602178,1.0E-8,0.3701542949487101,344.0,0.99999901,0.17181239
9394,0.17181239,0.99947034,0.39505255,1.0E-8,0.3701542949487101,436.0,0.99947034,0.17181239
11654,0.17181239,0.99845455,0.39409196,1.0E-8,0.3701542949487101,544.0,0.99845455,0.17181239
13588,0.17181239,0.99655666,0.39342777,1.0E-8,0.3701542949487101,631.0,0.99655666,0.17181239
14400,0.17181239,0.99430786,0.39313954,1.0E-8,0.3701542949487101,666.0,0.99430786,0.17181239
17002,0.17181239,0.98438933,0.39232775,1.0E-8,0.3701542949487101,785.0,0.98438933,0.17181239
17940,0.17181239,0.98246843,0.39199704,1.0E-8,0.3701542949487101,825.0,0.98246843,0.17181239
21891,0.17181239,0.96895315,0.39089732,1.0E-8,0.3701542949487101,1005.0,0.96895315,0.17181239
23427,0.17181239,0.96091687,0.39051665,1.0E-8,0.3701542949487101,1076.0,0.96091687,0.17181239
25597,0.17181239,0.95239457,0.38994751,1.0E-8,0.3701542949487101,1172.0,0.95239457,0.17181239
26514,0.17181239,0.94260258,0.38974105,1.0E-8,0.3701542949487101,1218.0,0.94260258,0.17181239
28945,0.17181239,0.93355421,0.38902579,1.0E-8,0.3701542949487101,1325.0,0.93355421,0.17181239
29124,0.17181239,0.93315231,0.38899737,1.0E-8,0.3701542949487101,1333.0,0.93315231,0.17181239
31113,0.17181239,0.92994118,0.38856335,1.0E-8,0.3701542949487101,1428.0,0.92994118,0.17181239
33598,0.17181239,0.91903125,0.38796716,1.0E-8,0.3701542949487101,1537.0,0.91903125,0.17181239
35045,0.17181239,0.91096022,0.38768803,1.0E-8,0.3701542949487101,1607.0,0.91096022,0.17181239
41530,0.17181239,0.89011761,0.38642789,1.0E-8,0.3701542949487101,1904.0,0.89011761,0.17181239
47881,0.17181239,0.86847943,0.38515635,1.0E-8,0.3701542949487101,2193.0,0.86847943,0.17181239
51762,0.17181239,0.85802323,0.38436979,1.0E-8,0.3701542949487101,2372.0,0.85802323,0.17181239
59755,0.17181239,0.84022741,0.382695,1.0E-8,0.3701542949487101,2726.0,0.84022741,0.17181239
66060,0.17181239,0.81816532,0.38163549,1.0E-8,0.3701542949487101,3018.0,0.81816532,0.17181239
93604,0.17181239,0.75358466,0.37776595,1.0E-8,0.3701542949487101,4272.0,0.75358466,0.17181239
146092,0.17181239,0.68759086,0.37180204,1.0E-8,0.3701542949487101,6686.0,0.68759086,0.17181239
191934,0.17181239,0.6481953,0.36761766,1.0E-8,0.3701542949487101,8764.0,0.6481953,0.17181239
319072,0.17181239,0.55679159,0.35926752,1.0E-8,0.3701542949487101,14571.0,0.55679159,0.17181239
612117,0.17181239,0.4152496,0.34854931,1.0E-8,0.3701542949487101,27900.0,0.4152496,0.17181239
1076934,0.17181239,0.31802395,0.33899372,1.0E-8,0.3701542949487101,49012.0,0.31802395,0.17181239
3083636,0.17181239,0.23073572,0.32273661,1.0E-8,0.3701542949487101,140221.0,0.23073572,0.17181239
10294149,0.17181239,0.19803398,0.30901736,1.0E-8,0.3701542949487101,468091.0,0.19803398,0.17181239
21986619,0.17181239,0.18845182,0.30289427,1.0E-8,0.3701542949487101,1000000.0,0.18845182,0.17181239
