Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.17181239,1.0,0.40002275,1.0E-8,0.3701542949487101,0.0,1.0,0.17181239
55,0.17181239,1.0,0.40001295,1.0E-8,0.3701542949487101,3.0,1.0,0.17181239
166,0.17181239,1.0,0.3999914,1.0E-8,0.3701542949487101,9.0,1.0,0.17181239
312,0.17181239,1.0,0.39991528,1.0E-8,0.3701542949487101,17.0,1.0,0.17181239
388,0.17181239,1.0,0.39988774,1.0E-8,0.3701542949487101,21.0,1.0,0.17181239
570,0.17181239,1.0,0.39975048,1.0E-8,0.3701542949487101,30.0,1.0,0.17181239
800,0.17181239,1.0,0.39960537,1.0E-8,0.3701542949487101,42.0,1.0,0.17181239
1352,0.17181239,1.0,0.39915404,1.0E-8,0.3701542949487101,71.0,1.0,0.17181239
1753,0.17181239,1.0,0.39895633,1.0E-8,0.3701542949487101,92.0,1.0,0.17181239
2616,0.17181239,1.0,0.39844307,1.0E-8,0.3701542949487101,141.0,1.0,0.17181239
3917,0.17181239,1.0,0.39784511,1.0E-8,0.3701542949487101,211.0,1.0,0.17181239
5095,0.17181239,0.99999998,0.3973413,1.0E-8,0.3701542949487101,274.0,0.99999998,0.17181239
7091,0.17181239,0.99999977,0.39668191,1.0E-8,0.3701542949487101,386.0,0.99999977,0.17181239
9119,0.17181239,0.99999967,0.39591978,1.0E-8,0.3701542949487101,495.0,0.99999967,0.17181239
10781,0.17181239,0.99954737,0.39532334,1.0E-8,0.3701542949487101,585.0,0.99954737,0.17181239
15031,0.17181239,0.99898237,0.39422367,1.0E-8,0.3701542949487101,814.0,0.99898237,0.17181239
21618,0.17181239,0.98383821,0.39286367,1.0E-8,0.3701542949487101,1173.0,0.98383821,0.17181239
26369,0.17181239,0.96115236,0.39198089,1.0E-8,0.3701542949487101,1428.0,0.96115236,0.17181239
34315,0.17181239,0.93198949,0.3906812,1.0E-8,0.3701542949487101,1856.0,0.93198949,0.17181239
34914,0.17181239,0.93268491,0.3905492,1.0E-8,0.3701542949487101,1888.0,0.93268491,0.17181239
38979,0.17181239,0.92316662,0.38994257,1.0E-8,0.3701542949487101,2108.0,0.92316662,0.17181239
44656,0.17181239,0.91061697,0.38916827,1.0E-8,0.3701542949487101,2411.0,0.91061697,0.17181239
60494,0.17181239,0.87969342,0.38717451,1.0E-8,0.3701542949487101,3255.0,0.87969342,0.17181239
68453,0.17181239,0.86438291,0.38631571,1.0E-8,0.3701542949487101,3687.0,0.86438291,0.17181239
86516,0.17181239,0.83787314,0.38437744,1.0E-8,0.3701542949487101,4655.0,0.83787314,0.17181239
97713,0.17181239,0.82565107,0.38333726,1.0E-8,0.3701542949487101,5255.0,0.82565107,0.17181239
123319,0.17181239,0.76837999,0.38151515,1.0E-8,0.3701542949487101,6641.0,0.76837999,0.17181239
146738,0.17181239,0.73701667,0.38007465,1.0E-8,0.3701542949487101,7907.0,0.73701667,0.17181239
191992,0.17181239,0.68525665,0.37748202,1.0E-8,0.3701542949487101,10335.0,0.68525665,0.17181239
270226,0.17181239,0.64001874,0.37391002,1.0E-8,0.3701542949487101,14541.0,0.64001874,0.17181239
413128,0.17181239,0.56635959,0.36906626,1.0E-8,0.3701542949487101,22206.0,0.56635959,0.17181239
634588,0.17181239,0.48614827,0.36371372,1.0E-8,0.3701542949487101,34113.0,0.48614827,0.17181239
1335610,0.17181239,0.38753944,0.35435707,1.0E-8,0.3701542949487101,71835.0,0.38753944,0.17181239
3122443,0.17181239,0.30357308,0.34524583,1.0E-8,0.3701542949487101,167877.0,0.30357308,0.17181239
9616380,0.17181239,0.22914352,0.33532866,1.0E-8,0.3701542949487101,517017.0,0.22914352,0.17181239
18592999,0.17181239,0.21052876,0.33137293,1.0E-8,0.3701542949487101,1000000.0,0.21052876,0.17181239
