Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.17181239,1.0,0.2070554,0.1,0.1,0.0,1.0,0.17181239
55,0.17181239,1.0,0.2070554,0.1,0.1,3.0,1.0,0.17181239
208,0.17181239,0.99952946,0.19825783,0.1,0.1,11.0,0.99952946,0.17181239
312,0.17181239,0.99805431,0.17596848,0.1,0.1,17.0,0.99805431,0.17181239
488,0.17181239,0.99999829,0.15446539,0.1,0.1,26.0,0.99999829,0.17181239
628,0.17181239,0.99053564,0.15098817,0.1,0.1,33.0,0.99053564,0.17181239
1029,0.17181239,0.92950986,0.13076669,0.1,0.1,54.0,0.92950986,0.17181239
1368,0.17181239,0.88364949,0.11731676,0.1,0.1,72.0,0.88364949,0.17181239
1753,0.17181239,0.86137954,0.10221252,0.1,0.1,92.0,0.86137954,0.17181239
2616,0.17181239,0.78788773,0.08457414,0.1,0.1,141.0,0.78788773,0.17181239
3950,0.17181239,0.66956708,0.07197558,0.1,0.1,213.0,0.66956708,0.17181239
5689,0.17181239,0.46877119,0.0695509,0.1,0.1,308.0,0.46877119,0.17181239
7168,0.17181239,0.43351431,0.06366788,0.1,0.1,390.0,0.43351431,0.17181239
9119,0.17181239,0.40726129,0.05743803,0.1,0.1,495.0,0.40726129,0.17181239
10781,0.17181239,0.38307454,0.05466375,0.1,0.1,585.0,0.38307454,0.17181239
15031,0.17181239,0.34955041,0.04163096,0.1,0.1,814.0,0.34955041,0.17181239
21618,0.17181239,0.30863383,0.03584619,0.1,0.1,1173.0,0.30863383,0.17181239
26369,0.17181239,0.28487553,0.03456414,0.1,0.1,1428.0,0.28487553,0.17181239
34315,0.17181239,0.26461255,0.02991211,0.1,0.1,1856.0,0.26461255,0.17181239
34914,0.17181239,0.26498306,0.03055021,0.1,0.1,1888.0,0.26498306,0.17181239
38979,0.17181239,0.26647992,0.02899877,0.1,0.1,2108.0,0.26647992,0.17181239
44656,0.17181239,0.25335971,0.02848526,0.1,0.1,2411.0,0.25335971,0.17181239
60494,0.17181239,0.24666911,0.02513662,0.1,0.1,3255.0,0.24666911,0.17181239
68453,0.17181239,0.24223474,0.02437426,0.1,0.1,3687.0,0.24223474,0.17181239
95233,0.17181239,0.21861331,0.01934345,0.1,0.1,5124.0,0.21861331,0.17181239
123319,0.17181239,0.21977756,0.01874933,0.1,0.1,6641.0,0.21977756,0.17181239
146738,0.17181239,0.21573522,0.01621777,0.1,0.1,7907.0,0.21573522,0.17181239
191992,0.17181239,0.20660246,0.01562751,0.1,0.1,10335.0,0.20660246,0.17181239
270226,0.17181239,0.20104543,0.01140064,0.1,0.1,14541.0,0.20104543,0.17181239
413128,0.17181239,0.19629094,0.00929257,0.1,0.1,22206.0,0.19629094,0.17181239
634588,0.17181239,0.19299428,0.00731833,0.1,0.1,34113.0,0.19299428,0.17181239
1335610,0.17181239,0.18578597,0.00586816,0.1,0.1,71835.0,0.18578597,0.17181239
3122443,0.17181239,0.18077651,0.0035324,0.1,0.1,167877.0,0.18077651,0.17181239
9616380,0.17181239,0.17711906,0.00180708,0.1,0.1,517017.0,0.17711906,0.17181239
18592999,0.17181239,0.17563638,0.00161933,0.1,0.1,1000000.0,0.17563638,0.17181239
