Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.17181239,1.0,0.2070554,0.1,0.1,0.0,1.0,0.17181239
42,0.17181239,1.0,0.2070554,0.1,0.1,2.0,1.0,0.17181239
55,0.17181239,1.0,0.2070554,0.1,0.1,3.0,1.0,0.17181239
107,0.17181239,1.0,0.2070554,0.1,0.1,6.0,1.0,0.17181239
187,0.17181239,0.99999874,0.12758972,0.1,0.1,10.0,0.99999874,0.17181239
226,0.17181239,0.99999805,0.11377812,0.1,0.1,12.0,0.99999805,0.17181239
272,0.17181239,0.99961718,0.11526118,0.1,0.1,15.0,0.99961718,0.17181239
291,0.17181239,0.99999726,0.11093698,0.1,0.1,16.0,0.99999726,0.17181239
354,0.17181239,0.99999599,0.09658922,0.1,0.1,19.0,0.99999599,0.17181239
509,0.17181239,0.99999258,0.07865888,0.1,0.1,27.0,0.99999258,0.17181239
549,0.17181239,0.90547252,0.07526,0.1,0.1,29.0,0.90547252,0.17181239
570,0.17181239,0.87703548,0.07469794,0.1,0.1,30.0,0.87703548,0.17181239
821,0.17181239,0.61657322,0.06288,0.1,0.1,43.0,0.61657322,0.17181239
853,0.17181239,0.57195412,0.06332977,0.1,0.1,45.0,0.57195412,0.17181239
1062,0.17181239,0.51286875,0.05816711,0.1,0.1,56.0,0.51286875,0.17181239
1314,0.17181239,0.46250514,0.05291739,0.1,0.1,69.0,0.46250514,0.17181239
1636,0.17181239,0.40353432,0.04565188,0.1,0.1,86.0,0.40353432,0.17181239
1719,0.17181239,0.3972527,0.04458053,0.1,0.1,90.0,0.3972527,0.17181239
2008,0.17181239,0.38830511,0.04077783,0.1,0.1,107.0,0.38830511,0.17181239
2616,0.17181239,0.33063449,0.03821673,0.1,0.1,141.0,0.33063449,0.17181239
2689,0.17181239,0.32564572,0.0381007,0.1,0.1,145.0,0.32564572,0.17181239
3670,0.17181239,0.31391823,0.03246188,0.1,0.1,198.0,0.31391823,0.17181239
4220,0.17181239,0.30866028,0.02857128,0.1,0.1,227.0,0.30866028,0.17181239
4997,0.17181239,0.29092091,0.0274179,0.1,0.1,269.0,0.29092091,0.17181239
5095,0.17181239,0.2881216,0.02726804,0.1,0.1,274.0,0.2881216,0.17181239
5551,0.17181239,0.28997794,0.02625725,0.1,0.1,300.0,0.28997794,0.17181239
5800,0.17181239,0.28826124,0.02589612,0.1,0.1,314.0,0.28826124,0.17181239
6941,0.17181239,0.27647953,0.02573221,0.1,0.1,378.0,0.27647953,0.17181239
7168,0.17181239,0.27297054,0.02480662,0.1,0.1,390.0,0.27297054,0.17181239
7323,0.17181239,0.27319439,0.02432512,0.1,0.1,398.0,0.27319439,0.17181239
9568,0.17181239,0.25844436,0.01990069,0.1,0.1,519.0,0.25844436,0.17181239
9958,0.17181239,0.25923045,0.01946752,0.1,0.1,541.0,0.25923045,0.17181239
10781,0.17181239,0.25302398,0.01856028,0.1,0.1,585.0,0.25302398,0.17181239
11629,0.17181239,0.2549243,0.01758779,0.1,0.1,632.0,0.2549243,0.17181239
12211,0.17181239,0.25316011,0.01707668,0.1,0.1,664.0,0.25316011,0.17181239
13740,0.17181239,0.24906863,0.01607826,0.1,0.1,746.0,0.24906863,0.17181239
14214,0.17181239,0.2489192,0.01569285,0.1,0.1,771.0,0.2489192,0.17181239
16122,0.17181239,0.24358514,0.01429457,0.1,0.1,872.0,0.24358514,0.17181239
17070,0.17181239,0.23917086,0.01373206,0.1,0.1,924.0,0.23917086,0.17181239
20106,0.17181239,0.23521128,0.01371319,0.1,0.1,1087.0,0.23521128,0.17181239
20257,0.17181239,0.235568,0.01371041,0.1,0.1,1096.0,0.235568,0.17181239
24162,0.17181239,0.23251158,0.01297062,0.1,0.1,1306.0,0.23251158,0.17181239
27094,0.17181239,0.22926008,0.01173176,0.1,0.1,1469.0,0.22926008,0.17181239
27659,0.17181239,0.22893019,0.01162524,0.1,0.1,1502.0,0.22893019,0.17181239
29862,0.17181239,0.2263428,0.01105816,0.1,0.1,1620.0,0.2263428,0.17181239
34733,0.17181239,0.21824388,0.00966757,0.1,0.1,1879.0,0.21824388,0.17181239
36404,0.17181239,0.21837507,0.00982884,0.1,0.1,1967.0,0.21837507,0.17181239
37876,0.17181239,0.21974736,0.00995666,0.1,0.1,2049.0,0.21974736,0.17181239
46857,0.17181239,0.21452591,0.00941136,0.1,0.1,2527.0,0.21452591,0.17181239
58724,0.17181239,0.20917872,0.00838653,0.1,0.1,3161.0,0.20917872,0.17181239
58792,0.17181239,0.20920358,0.00839274,0.1,0.1,3165.0,0.20920358,0.17181239
