Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.20316081,1.0,0.32208617,0.2,0.2,0.0,1.0,0.20316081
21,0.20316081,0.99999998,0.30610219,0.2,0.2,1.0,0.99999998,0.20316081
42,0.20316081,0.99999998,0.30610219,0.2,0.2,2.0,0.99999998,0.20316081
55,0.20316081,0.99999998,0.30610219,0.2,0.2,3.0,0.99999998,0.20316081
76,0.20316081,0.99999998,0.30610219,0.2,0.2,4.0,0.99999998,0.20316081
107,0.20316081,1.0,0.30682142,0.2,0.2,6.0,1.0,0.20316081
124,0.20316081,1.0,0.30682142,0.2,0.2,7.0,1.0,0.20316081
145,0.20316081,0.99999349,0.30551159,0.2,0.2,8.0,0.99999349,0.20316081
166,0.20316081,0.99956199,0.29353123,0.2,0.2,9.0,0.99956199,0.20316081
187,0.20316081,0.99919843,0.2830176,0.2,0.2,10.0,0.99919843,0.20316081
208,0.20316081,0.99865436,0.28539467,0.2,0.2,11.0,0.99865436,0.20316081
226,0.20316081,0.99835597,0.27397137,0.2,0.2,12.0,0.99835597,0.20316081
239,0.20316081,0.99820036,0.26949262,0.2,0.2,13.0,0.99820036,0.20316081
255,0.20316081,0.99820047,0.26525504,0.2,0.2,14.0,0.99820047,0.20316081
291,0.20316081,0.99671974,0.26359955,0.2,0.2,16.0,0.99671974,0.20316081
312,0.20316081,0.99713992,0.24659971,0.2,0.2,17.0,0.99713992,0.20316081
333,0.20316081,0.99470357,0.24887393,0.2,0.2,18.0,0.99470357,0.20316081
354,0.20316081,0.99509296,0.24603092,0.2,0.2,19.0,0.99509296,0.20316081
367,0.20316081,0.99550264,0.2430366,0.2,0.2,20.0,0.99550264,0.20316081
388,0.20316081,0.99602661,0.24016696,0.2,0.2,21.0,0.99602661,0.20316081
409,0.20316081,0.99729918,0.23237294,0.2,0.2,22.0,0.99729918,0.20316081
430,0.20316081,0.99797761,0.22983239,0.2,0.2,23.0,0.99797761,0.20316081
446,0.20316081,0.99862993,0.22738857,0.2,0.2,24.0,0.99862993,0.20316081
488,0.20316081,0.99786006,0.2058804,0.2,0.2,26.0,0.99786006,0.20316081
530,0.20316081,0.99397557,0.20157235,0.2,0.2,28.0,0.99397557,0.20316081
549,0.20316081,0.99489041,0.19958706,0.2,0.2,29.0,0.99489041,0.20316081
570,0.20316081,0.99580988,0.19766555,0.2,0.2,30.0,0.99580988,0.20316081
591,0.20316081,0.99015841,0.19963611,0.2,0.2,31.0,0.99015841,0.20316081
612,0.20316081,0.98428714,0.20153449,0.2,0.2,32.0,0.98428714,0.20316081
649,0.20316081,0.97926313,0.20148649,0.2,0.2,34.0,0.97926313,0.20316081
670,0.20316081,0.97978827,0.19966437,0.2,0.2,35.0,0.97978827,0.20316081
731,0.20316081,0.9750691,0.19792723,0.2,0.2,38.0,0.9750691,0.20316081
