Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.20316081,1.0,0.32208617,0.2,0.2,0.0,1.0,0.20316081
21,0.20316081,1.0,0.32208617,0.2,0.2,1.0,1.0,0.20316081
42,0.20316081,1.0,0.32208617,0.2,0.2,2.0,1.0,0.20316081
76,0.20316081,0.99999999,0.3171441,0.2,0.2,4.0,0.99999999,0.20316081
107,0.20316081,0.99999999,0.31503407,0.2,0.2,6.0,0.99999999,0.20316081
145,0.20316081,0.99999984,0.26126133,0.2,0.2,8.0,0.99999984,0.20316081
166,0.20316081,0.99999941,0.21192181,0.2,0.2,9.0,0.99999941,0.20316081
187,0.20316081,0.99999916,0.18500998,0.2,0.2,10.0,0.99999916,0.20316081
208,0.20316081,0.99999901,0.17136839,0.2,0.2,11.0,0.99999901,0.20316081
291,0.20316081,0.99722793,0.16185716,0.2,0.2,16.0,0.99722793,0.20316081
354,0.20316081,0.99701604,0.14136421,0.2,0.2,19.0,0.99701604,0.20316081
530,0.20316081,0.95326831,0.1162063,0.2,0.2,28.0,0.95326831,0.20316081
549,0.20316081,0.90765828,0.11295023,0.2,0.2,29.0,0.90765828,0.20316081
570,0.20316081,0.88931313,0.11216854,0.2,0.2,30.0,0.88931313,0.20316081
853,0.20316081,0.6436477,0.09236656,0.2,0.2,45.0,0.6436477,0.20316081
1062,0.20316081,0.58951894,0.0860061,0.2,0.2,56.0,0.58951894,0.20316081
1314,0.20316081,0.53783872,0.07817458,0.2,0.2,69.0,0.53783872,0.20316081
1636,0.20316081,0.48442811,0.0713047,0.2,0.2,85.0,0.48442811,0.20316081
1719,0.20316081,0.47723953,0.07038307,0.2,0.2,89.0,0.47723953,0.20316081
1925,0.20316081,0.4640215,0.06127219,0.2,0.2,101.0,0.4640215,0.20316081
2949,0.20316081,0.37997324,0.05189534,0.2,0.2,156.0,0.37997324,0.20316081
3329,0.20316081,0.36773455,0.04911162,0.2,0.2,176.0,0.36773455,0.20316081
4199,0.20316081,0.35668399,0.04162808,0.2,0.2,223.0,0.35668399,0.20316081
4303,0.20316081,0.3518217,0.04201506,0.2,0.2,229.0,0.3518217,0.20316081
5095,0.20316081,0.3345148,0.0394052,0.2,0.2,271.0,0.3345148,0.20316081
5761,0.20316081,0.3334721,0.03686795,0.2,0.2,309.0,0.3334721,0.20316081
6390,0.20316081,0.32303696,0.03748564,0.2,0.2,345.0,0.32303696,0.20316081
7834,0.20316081,0.31291345,0.03565412,0.2,0.2,424.0,0.31291345,0.20316081
9568,0.20316081,0.30190666,0.02917928,0.2,0.2,517.0,0.30190666,0.20316081
10382,0.20316081,0.30168149,0.02795719,0.2,0.2,562.0,0.30168149,0.20316081
12760,0.20316081,0.28901169,0.02596033,0.2,0.2,691.0,0.28901169,0.20316081
15283,0.20316081,0.28356531,0.02203901,0.2,0.2,824.0,0.28356531,0.20316081
38906,0.20316081,0.25360357,0.01329822,0.2,0.2,2095.0,0.25360357,0.20316081
44928,0.20316081,0.24951327,0.01293978,0.2,0.2,2419.0,0.24951327,0.20316081
84045,0.20316081,0.23368034,0.00988963,0.2,0.2,4519.0,0.23368034,0.20316081
242825,0.20316081,0.22147289,0.0052135,0.2,0.2,13052.0,0.22147289,0.20316081
651433,0.20316081,0.21520741,0.00328552,0.2,0.2,34997.0,0.21520741,0.20316081
1505268,0.20316081,0.21112826,0.00256491,0.2,0.2,80924.0,0.21112826,0.20316081
4609352,0.20316081,0.20712704,0.00129063,0.2,0.2,247654.0,0.20712704,0.20316081
13338929,0.20316081,0.20533178,7.6721E-4,0.2,0.2,716883.0,0.20533178,0.20316081
18604987,0.20316081,0.20504441,7.0586E-4,0.2,0.2,1000000.0,0.20504441,0.20316081
