Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.40653565,0.0,0.88697536,1.0E-8,0.99999999,0.0,0.99999995,0.40653565
153,0.40653565,0.0,0.88660412,1.0E-8,0.9698789888468617,3.0,0.99999995,0.40653565
459,0.40653565,0.0,0.88514513,1.0E-8,0.8154021194059714,9.0,0.99999995,0.40653565
816,0.40653565,0.0,0.88358491,1.0E-8,0.6973758592490116,16.0,0.99999995,0.40653565
1887,0.40653565,0.0,0.87997778,1.0E-8,0.52566941241584,37.0,0.99999995,0.40653565
3060,0.40653565,0.0,0.87760386,1.0E-8,0.44408999789501696,60.0,0.99999995,0.40653565
7038,0.40653565,0.0,0.8729307,1.0E-8,0.28345132798136513,138.0,0.99999995,0.40653565
8772,0.40653565,0.0,0.87127376,1.0E-8,0.25577264835499053,172.0,0.99999995,0.40653565
11322,0.40653565,0.0,0.86942448,1.0E-8,0.2210451437643239,222.0,0.99999995,0.40653565
14229,0.40653565,0.0,0.8675768,1.0E-8,0.20063675545654192,279.0,0.99999995,0.40653565
20808,0.40653565,0.0,0.86407114,1.0E-8,0.16538945960037763,408.0,0.99999995,0.40653565
35037,0.40653565,0.0,0.85976919,1.0E-8,0.12316529025246453,687.0,0.99999995,0.40653565
65127,0.40653565,0.0,0.85269943,1.0E-8,0.09602208198635569,1277.0,0.99999995,0.40653565
80223,0.40653565,0.0,0.85037931,1.0E-8,0.09018435440425912,1573.0,0.99999995,0.40653565
96492,0.40653565,0.0,0.84794088,1.0E-8,0.08659472322543468,1892.0,0.99999995,0.40653565
121635,0.40653565,0.0,0.84508911,1.0E-8,0.07707241667317802,2385.0,0.99999995,0.40653565
178194,0.40653565,0.0,0.84128505,1.0E-8,0.0677112409888971,3494.0,0.99999995,0.40653565
245310,0.40653565,0.0,0.83720384,1.0E-8,0.0601375318276519,4810.0,0.99999995,0.40653565
312630,0.40653565,0.0,0.83434998,1.0E-8,0.05327239690793799,6130.0,0.99999995,0.40653565
510000,0.40653565,0.0,0.82836049,1.0E-8,0.04400175582929172,10000.0,0.99999995,0.40653565
