Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.40653565,0.0,0.74803978,1.0E-8,0.99999999,0.0,0.99999995,0.40653565
153,0.40653565,0.0,0.7206133,1.0E-8,0.9649058927082623,3.0,0.99999995,0.40653565
459,0.40653565,0.0,0.60031301,1.0E-8,0.8109732612216569,9.0,0.99999993,0.40653565
816,0.40653565,0.0,0.50842868,1.0E-8,0.6934008373773515,16.0,0.99999992,0.40653565
1887,0.40653565,0.0,0.3654013,1.0E-8,0.5103873049109111,37.0,0.99999991,0.40653565
3060,0.40653565,2.0E-8,0.29947435,1.0E-8,0.4131259451995222,60.0,0.9999999,0.40653565
7038,0.40653565,1.531E-5,0.20094018,1.0E-8,0.2784970692837576,138.0,0.99999988,0.40653565
8772,0.40653565,5.353E-5,0.18115196,1.0E-8,0.24673454285571428,172.0,0.99999988,0.40653565
11322,0.40653565,2.7615E-4,0.15348129,1.0E-8,0.21333916916043566,222.0,0.99999987,0.40653565
14229,0.40653565,7.8878E-4,0.13502848,1.0E-8,0.18806844739792739,279.0,0.99999987,0.40653565
20808,0.40653565,0.00205631,0.11777397,1.0E-8,0.15660950983319658,408.0,0.99999986,0.40653565
35037,0.40653565,0.00885556,0.08913589,1.0E-8,0.12226831375032873,687.0,0.99999985,0.40653565
65127,0.40653565,0.02779962,0.06492664,1.0E-8,0.09245935573267253,1277.0,0.99999985,0.40653565
80223,0.40653565,0.03445308,0.06029209,1.0E-8,0.08238942522456638,1573.0,0.99999984,0.40653565
96492,0.40653565,0.04627329,0.05360325,1.0E-8,0.07395869016861183,1892.0,0.99999984,0.40653565
121635,0.40653565,0.06253574,0.04647472,1.0E-8,0.06955974828192187,2385.0,0.99999984,0.40653565
178194,0.40653565,0.08335769,0.04098149,1.0E-8,0.06073668742977924,3494.0,0.87477226,0.40653565
276930,0.40653565,0.12862405,0.03049944,1.0E-8,0.05054810767782819,5430.0,0.81281764,0.40653565
312630,0.40653565,0.1357519,0.02953186,1.0E-8,0.04786233387125214,6130.0,0.76951919,0.40653565
663306,0.40653565,0.20778792,0.01865044,1.0E-8,0.03787496063290983,13006.0,0.67070774,0.40653565
998937,0.40653565,0.2411297,0.01471565,1.0E-8,0.03385835875329364,19587.0,0.62444984,0.40653565
1584213,0.40653565,0.26833845,0.01198588,0.0010149641018741672,0.030193812964500785,31063.0,0.57153094,0.40653565
1991754,0.40653565,0.27942346,0.01096187,0.0023439168317285954,0.02836861388080212,39054.0,0.54853588,0.40653565
3377475,0.40653565,0.31119557,0.0080585,0.005932585568401044,0.025919836574315923,66225.0,0.52158617,0.40653565
4390896,0.40653565,0.32468122,0.00735914,0.007074351996485144,0.024604585226266094,86096.0,0.51036413,0.40653565
5564151,0.40653565,0.33864354,0.00711297,0.007948558102220667,0.023521671646952253,109101.0,0.50558077,0.40653565
6747810,0.40653565,0.34377538,0.00639057,0.009048206388210602,0.023189868697938962,132310.0,0.49488307,0.40653565
11726430,0.40653565,0.35645295,0.00466552,0.010904967867712174,0.021632823285070192,229930.0,0.47012823,0.40653565
20103741,0.40653565,0.36576444,0.00334588,0.012031790064305088,0.020225210663735116,394191.0,0.4519844,0.40653565
39249600,0.40653565,0.37778417,0.00245425,0.012916139037750992,0.01878010507296367,769600.0,0.43954225,0.40653565
51000000,0.40653565,0.38174562,0.00220197,0.013348569418323332,0.01849285743599329,1000000.0,0.43596765,0.40653565
