Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.2709402,0.2709402,0.42664829,0.8200000000000001,0.8200000000000001,0.0,1.0,0.77238819
60,0.2709402,0.2709402,0.42664829,0.8200000000000001,0.8200000000000001,3.0,1.0,0.77238819
154,0.2709402,0.2709402,0.42664829,0.8200000000000001,0.8200000000000001,7.0,1.0,0.77238819
252,0.2709402,0.2709402,0.40563084,0.8200000000000001,0.8200000000000001,11.0,1.0,0.77238819
618,0.7715355,0.47251013,0.34718534,0.8200000000000001,0.8200000000000001,28.0,1.0,0.7874861
1222,0.7715355,0.56294533,0.32169231,0.8200000000000001,0.8200000000000001,55.0,1.0,0.77238819
1283,0.7715355,0.56294533,0.32114705,0.8200000000000001,0.8200000000000001,58.0,1.0,0.77238819
5367,0.86101966,0.62884812,0.29527361,0.8200000000000001,0.8200000000000001,252.0,1.0,0.84524997
18457,0.86101966,0.77388732,0.27844516,0.8200000000000001,0.8200000000000001,870.0,1.0,0.79461443
18528,0.86101966,0.77388732,0.27846145,0.8200000000000001,0.8200000000000001,873.0,1.0,0.79461443
18597,0.86101966,0.77388732,0.27283377,0.8200000000000001,0.8200000000000001,876.0,1.0,0.79461443
18744,0.86101966,0.77388732,0.25180481,0.8200000000000001,0.8200000000000001,882.0,1.0,0.8174486
18865,0.86101966,0.77388732,0.22674326,0.8200000000000001,0.8200000000000001,887.0,1.0,0.79461443
18938,0.86101966,0.77388732,0.21580321,0.8200000000000001,0.8200000000000001,890.0,1.0,0.83212982
20457,0.86101966,0.77388732,0.15491314,0.8200000000000001,0.8200000000000001,957.0,1.0,0.8174486
20527,0.86101966,0.77388732,0.15448244,0.8200000000000001,0.8200000000000001,960.0,1.0,0.85621571
20896,0.86101966,0.77388732,0.15216556,0.8200000000000001,0.8200000000000001,978.0,1.0,0.85621571
20960,0.86101966,0.77388732,0.15194981,0.8200000000000001,0.8200000000000001,981.0,1.0,0.85621571
21092,0.86101966,0.77388732,0.15144072,0.8200000000000001,0.8200000000000001,987.0,1.0,0.85621571
21291,0.86101966,0.77388732,0.15070542,0.8200000000000001,0.8200000000000001,996.0,1.0,0.85621571
22019,0.86101966,0.77388732,0.14985513,0.8200000000000001,0.8200000000000001,1031.0,1.0,0.85621571
25054,0.86101966,0.77388732,0.13678176,0.8200000000000001,0.8200000000000001,1166.0,0.99759731,0.8380313
37515,0.86517469,0.77454161,0.1259491,0.8200000000000001,0.8200000000000001,1729.0,0.98111332,0.86436725
37590,0.86517469,0.7755199,0.12589226,0.8200000000000001,0.8200000000000001,1732.0,0.98110322,0.86436725
37661,0.86517469,0.77429096,0.12589984,0.8200000000000001,0.8200000000000001,1736.0,0.98054039,0.86436725
37757,0.86517469,0.77433005,0.12578558,0.8200000000000001,0.8200000000000001,1740.0,0.98064115,0.86436725
38207,0.86101966,0.77388732,0.10165664,0.8200000000000001,0.8200000000000001,1761.0,0.98013248,0.86436725
38579,0.86517469,0.7743862,0.09687687,0.8200000000000001,0.8200000000000001,1777.0,0.98051305,0.86436725
40348,0.86517469,0.77773668,0.08924685,0.8200000000000001,0.8200000000000001,1856.0,0.9789152,0.86214179
49658,0.86517469,0.793588,0.08085767,0.8200000000000001,0.8200000000000001,2271.0,0.97365451,0.86214179
49969,0.86517469,0.7960378,0.08095146,0.8200000000000001,0.8200000000000001,2284.0,0.97404126,0.86214179
51117,0.86517469,0.79279006,0.08016522,0.8200000000000001,0.8200000000000001,2338.0,0.97250843,0.86774966
54840,0.86517469,0.79105416,0.07855125,0.8200000000000001,0.8200000000000001,2508.0,0.97177551,0.85885343
54914,0.86517469,0.790909,0.0785474,0.8200000000000001,0.8200000000000001,2511.0,0.97178692,0.85885343
54964,0.86517469,0.790909,0.0785312,0.8200000000000001,0.8200000000000001,2513.0,0.9716774,0.85885343
55060,0.86517469,0.790909,0.07301543,0.8200000000000001,0.8200000000000001,2517.0,0.9716385,0.85885343
55319,0.86517469,0.790909,0.06079792,0.8200000000000001,0.8200000000000001,2529.0,0.97114763,0.85885343
55847,0.86517469,0.790909,0.05273332,0.8200000000000001,0.8200000000000001,2553.0,0.97113612,0.85885343
56459,0.86517469,0.790909,0.0481953,0.8200000000000001,0.8200000000000001,2581.0,0.97085371,0.85885343
58997,0.86517469,0.790909,0.04266736,0.8200000000000001,0.8200000000000001,2699.0,0.96951871,0.85885343
67939,0.86517469,0.790909,0.03997204,0.8200000000000001,0.8200000000000001,3113.0,0.96788505,0.87187183
94334,0.86101966,0.80816567,0.0310647,0.8200000000000001,0.8200000000000001,4324.0,0.96020311,0.87187183
94409,0.86101966,0.80816567,0.03100935,0.8200000000000001,0.8200000000000001,4328.0,0.95997622,0.87187183
94565,0.86101966,0.80816567,0.03093496,0.8200000000000001,0.8200000000000001,4335.0,0.95999053,0.87187183
95221,0.86101966,0.80816567,0.03077827,0.8200000000000001,0.8200000000000001,4363.0,0.95979108,0.87187183
97845,0.86101966,0.80816567,0.03049753,0.8200000000000001,0.8200000000000001,4480.0,0.96061403,0.87187183
108273,0.86101966,0.80816567,0.02795194,0.8200000000000001,0.8200000000000001,4950.0,0.94791366,0.87187183
150107,0.86517469,0.82483551,0.02505,0.8200000000000001,0.8200000000000001,6820.0,0.93569683,0.85464763
317309,0.86517469,0.84218378,0.02107717,0.8200000000000001,0.8200000000000001,14350.0,0.93272335,0.85134509
317382,0.86517469,0.84224104,0.02109309,0.8200000000000001,0.8200000000000001,14353.0,0.93280021,0.85134509
317529,0.86517469,0.84224104,0.02111638,0.8200000000000001,0.8200000000000001,14360.0,0.93291661,0.85134509
318040,0.86517469,0.84224104,0.02109213,0.8200000000000001,0.8200000000000001,14385.0,0.93181753,0.85134509
318840,0.86517469,0.84224104,0.02098338,0.8200000000000001,0.8200000000000001,14421.0,0.93135141,0.85134509
323590,0.86517469,0.84224104,0.020576,0.8200000000000001,0.8200000000000001,14642.0,0.925463,0.85129391
341679,0.86517469,0.84224104,0.01951756,0.8200000000000001,0.8200000000000001,15458.0,0.92208117,0.85459624
342117,0.86517469,0.84224104,0.01948754,0.8200000000000001,0.8200000000000001,15478.0,0.92195813,0.85459624
342350,0.86517469,0.8422041,0.01950996,0.8200000000000001,0.8200000000000001,15489.0,0.92146902,0.85459624
342768,0.86517469,0.84238258,0.01951511,0.8200000000000001,0.8200000000000001,15507.0,0.92081192,0.85459624
344882,0.86517469,0.84240887,0.01918375,0.8200000000000001,0.8200000000000001,15600.0,0.92125227,0.85459624
351013,0.86517469,0.84374609,0.01885109,0.8200000000000001,0.8200000000000001,15874.0,0.91902336,0.85459624
377512,0.86517469,0.84364459,0.01761471,0.8200000000000001,0.8200000000000001,17088.0,0.91371473,0.85753431
481791,0.86517469,0.84826181,0.01556885,0.8200000000000001,0.8200000000000001,21831.0,0.90667986,0.87187183
897656,0.86517469,0.85121848,0.01344382,0.8200000000000001,0.8200000000000001,40730.0,0.90443839,0.86039794
10879327,0.87187183,0.86567366,0.00922886,0.8200000000000001,0.8200000000000001,490720.0,0.90443839,0.86039794
13628911,0.87187183,0.86567366,0.00771497,0.8200000000000001,0.8200000000000001,619008.0,0.8904922,0.85661318
21797174,0.87187183,0.86567366,0.00757605,0.8200000000000001,0.8200000000000001,1000000.0,0.8904922,0.85661318
