Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.2709402,0.2709402,0.42664829,0.8200000000000001,0.8200000000000001,0.0,1.0,0.77238819
21,0.2709402,0.2709402,0.42664829,0.8200000000000001,0.8200000000000001,1.0,1.0,0.77238819
36,0.2709402,0.2709402,0.42573191,0.8200000000000001,0.8200000000000001,2.0,1.0,0.77238819
57,0.2709402,0.2709402,0.42217131,0.8200000000000001,0.8200000000000001,3.0,1.0,0.7959822
78,0.2709402,0.2709402,0.41907722,0.8200000000000001,0.8200000000000001,4.0,1.0,0.7834109
81,0.2709402,0.2709402,0.4197885,0.8200000000000001,0.8200000000000001,5.0,1.0,0.80593048
102,0.2709402,0.2709402,0.41850886,0.8200000000000001,0.8200000000000001,6.0,1.0,0.7834109
123,0.2709402,0.2709402,0.41562739,0.8200000000000001,0.8200000000000001,7.0,1.0,0.77238819
144,0.2709402,0.2709402,0.41296511,0.8200000000000001,0.8200000000000001,8.0,1.0,0.82060284
186,0.2709402,0.2709402,0.40520887,0.8200000000000001,0.8200000000000001,10.0,1.0,0.7959822
207,0.2709402,0.2709402,0.40397429,0.8200000000000001,0.8200000000000001,11.0,1.0,0.77238819
228,0.2709402,0.2709402,0.40058738,0.8200000000000001,0.8200000000000001,12.0,1.0,0.81743186
264,0.2709402,0.2709402,0.39661978,0.8200000000000001,0.8200000000000001,14.0,1.0,0.7959822
285,0.2709402,0.2709402,0.39485309,0.8200000000000001,0.8200000000000001,15.0,1.0,0.7959822
306,0.2709402,0.2709402,0.39343465,0.8200000000000001,0.8200000000000001,16.0,1.0,0.7959822
327,0.2709402,0.2709402,0.39264378,0.8200000000000001,0.8200000000000001,17.0,1.0,0.81743186
342,0.55870409,0.2767944,0.39195809,0.8200000000000001,0.8200000000000001,18.0,1.0,0.81743186
363,0.2709402,0.2709402,0.39258624,0.8200000000000001,0.8200000000000001,19.0,1.0,0.81743186
384,0.55870409,0.27728119,0.39109234,0.8200000000000001,0.8200000000000001,20.0,1.0,0.78409646
405,0.55870409,0.28852588,0.38967557,0.8200000000000001,0.8200000000000001,21.0,1.0,0.78409646
468,0.55870409,0.31821513,0.38450487,0.8200000000000001,0.8200000000000001,24.0,1.0,0.7959822
606,0.55870409,0.34697796,0.37612302,0.8200000000000001,0.8200000000000001,32.0,1.0,0.77238819
618,0.55870409,0.35360607,0.37570474,0.8200000000000001,0.8200000000000001,33.0,1.0,0.77238819
744,0.55870409,0.36623858,0.37048393,0.8200000000000001,0.8200000000000001,39.0,1.0,0.7834109
795,0.55870409,0.38437912,0.36837854,0.8200000000000001,0.8200000000000001,42.0,1.0,0.7959822
816,0.55870409,0.38327089,0.36845421,0.8200000000000001,0.8200000000000001,43.0,1.0,0.7959822
858,0.55870409,0.39233675,0.36641677,0.8200000000000001,0.8200000000000001,45.0,1.0,0.77238819
1017,0.7715355,0.44065731,0.35860505,0.8200000000000001,0.8200000000000001,53.0,1.0,0.7959822
1150,0.7715355,0.4568198,0.35471566,0.8200000000000001,0.8200000000000001,61.0,1.0,0.77238819
