Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.03769537,0.0,0.79003712,1.0E-8,0.99999999,0.0,1.0,0.03769537
38,0.03769537,0.0,0.78988386,1.0E-8,0.99999999,10.0,1.0,0.11083128
189,0.03769537,0.0,0.78962871,1.0E-8,0.99999999,37.0,1.0,0.339578
261,0.09696607,0.0,0.78939561,1.0E-8,0.99999999,47.0,1.0,0.46893603
450,0.30318257,0.0,0.78913538,1.0E-8,0.99999999,58.0,1.0,0.55422138
678,0.43548623,0.0,0.78877595,1.0E-8,0.99999999,73.0,1.0,0.5148927
1437,0.55422138,0.0,0.78810597,1.0E-8,0.99999999,118.0,1.0,0.0175286
5534,0.5148927,0.0,0.78684705,1.0E-8,0.99999999,344.0,1.0,0.0175286
5564,0.5148927,0.0,0.78667872,1.0E-8,0.99999999,354.0,1.0,0.06731849
5749,0.5148927,0.0,0.78634846,1.0E-8,0.99999999,395.0,1.0,0.26882818
5842,0.5148927,0.0,0.78621889,1.0E-8,0.99999999,405.0,1.0,0.40240078
6012,0.5148927,0.0,0.78594536,1.0E-8,0.99999999,415.0,1.0,0.4444537
6253,0.5148927,0.0,0.78562235,1.0E-8,0.99999999,433.0,1.0,0.34563309
6883,0.5148927,0.0,0.78496207,1.0E-8,0.99999999,469.0,1.0,0.03556179
7056,0.5148927,0.0,0.78473457,0.16391815392386905,0.99999999,479.0,1.0,0.05908419
7217,0.5148927,0.0,0.78453171,0.3170176575912128,0.99999999,497.0,1.0,0.14975207
7284,0.5148927,0.0,0.78437225,0.3170176575912128,0.99999999,507.0,1.0,0.16419943
7462,0.5148927,0.0,0.7841724,0.3170176575912128,0.99999999,520.0,1.0,0.31806903
7934,0.5148927,0.0,0.78362884,0.3170176575912128,0.99999999,557.0,1.0,0.14683704
8126,0.5148927,0.0,0.78334358,0.3170176575912128,0.99999999,571.0,1.0,0.36879636
8248,0.5148927,0.0,0.78309616,0.3170176575912128,0.99999999,583.0,1.0,0.51313025
8703,0.5148927,0.0,0.78271916,0.3170176575912128,0.99999999,608.0,1.0,0.50003436
8909,0.5148927,0.0,0.7824647,0.3170176575912128,0.99999999,618.0,1.0,0.6629317
9090,0.51489269,0.0,0.78222003,0.3170176575912128,0.99999999,628.0,1.0,0.64813725
9320,0.51489269,0.0,0.78192717,0.3170176575912128,0.99999999,640.0,1.0,0.6615722
9595,0.51489269,0.0,0.78158619,0.3170176575912128,0.99999999,657.0,1.0,0.44298927
11064,0.51489269,0.0,0.78065175,0.3170176575912128,0.99999999,739.0,1.0,0.34379161
11262,0.51489269,0.0,0.78045418,0.3170176575912128,0.99999999,753.0,1.0,0.56087643
11762,0.51489269,0.0,0.78015404,0.3170176575912128,0.99999999,792.0,1.0,0.09203149
11971,0.51489269,0.0,0.77999454,0.3170176575912128,0.99999999,805.0,1.0,0.09203149
12089,0.51489269,0.0,0.77990528,0.3170176575912128,0.99999999,815.0,1.0,0.2716391
12304,0.51489269,0.0,0.77954934,0.3170176575912128,0.99999999,842.0,1.0,0.17375869
12432,0.51489269,0.0,0.77941454,0.3170176575912128,0.99999999,853.0,1.0,0.17375869
12554,0.51489269,0.0,0.77923448,0.3170176575912128,0.99999999,863.0,1.0,0.19897851
13762,0.67245467,0.0,0.77833229,0.3170176575912128,0.99999999,971.0,1.0,0.4155023
13923,0.67245467,0.0,0.77819543,0.3170176575912128,0.99999999,981.0,1.0,0.4155023
14122,0.67245467,0.0,0.77802681,0.3170176575912128,0.99999999,991.0,1.0,0.01688362
15157,0.67245467,0.0,0.77737204,0.3170176575912128,0.99999999,1045.0,1.0,0.01331238
15244,0.67245467,0.0,0.77727521,0.3170176575912128,0.99999999,1057.0,1.0,0.11137428
15715,0.67245467,0.0,0.77669615,0.3170176575912128,0.99999999,1130.0,0.99995429,0.02215769
15857,0.67245467,0.0,0.77649749,0.3170176575912128,0.99999999,1140.0,0.99995429,0.02215769
15926,0.67245467,0.0,0.77635827,0.3170176575912128,0.99999999,1150.0,1.0,0.08570133
16661,0.67245467,0.0,0.77567446,0.3170176575912128,0.99999999,1250.0,1.0,0.38339611
16773,0.67245467,0.0,0.77548693,0.3170176575912128,0.99999999,1260.0,1.0,0.38339611
16959,0.67245467,0.0,0.77524012,0.3170176575912128,0.99999999,1270.0,1.0,0.1055315
18873,0.67245467,0.0,0.7739152,0.3170176575912128,0.99999999,1376.0,1.0,0.67994087
19031,0.67245467,0.0,0.77381341,0.3170176575912128,0.99999999,1387.0,1.0,0.67994087
19238,0.67245467,0.0,0.77370813,0.3170176575912128,0.99999999,1398.0,1.0,0.36523334
20515,0.67245467,0.0,0.77306339,0.3170176575912128,0.99999999,1465.0,0.99995622,0.20539936
20735,0.67245467,0.0,0.77285824,0.3170176575912128,0.99999999,1478.0,0.99966008,0.21528651
20855,0.67245467,0.0,0.77272355,0.3170176575912128,0.99999999,1488.0,0.99980381,0.26658428
21040,0.67245467,0.0,0.77243744,0.3170176575912128,0.99999999,1503.0,0.99963317,0.2789058
21150,0.67245467,0.0,0.77228741,0.3170176575912128,0.99999999,1513.0,0.99963317,0.57563321
21708,0.67245467,0.0,0.7715096,0.3170176575912128,0.99999999,1551.0,1.0,0.0804984
21913,0.67245467,0.0,0.77119902,0.3170176575912128,0.99999999,1561.0,1.0,0.28168363
22025,0.67245467,0.0,0.77102621,0.3170176575912128,0.99999999,1572.0,1.0,0.28168363
22217,0.67245467,0.0,0.77084399,0.3170176575912128,0.99999999,1591.0,0.99901322,0.2081726
23404,0.67245467,0.0,0.77008159,0.3170176575912128,0.99999999,1684.0,0.99904635,0.1618706
23593,0.67245467,0.0,0.76995336,0.3170176575912128,0.99999999,1697.0,0.99912682,0.36601201
24859,0.67245467,0.0,0.7689334,0.3170176575912128,0.99999999,1791.0,0.997644,0.53149541
25041,0.67245467,0.0,0.76877193,0.3170176575912128,0.99999999,1803.0,0.9971416,0.15049886
25224,0.67245467,0.0,0.76852071,0.3170176575912128,0.99999999,1814.0,0.99680281,0.58272943
25316,0.67245467,0.0,0.76835146,0.3170176575912128,0.99999999,1826.0,0.99680281,0.51229065
25494,0.67245467,0.0,0.76813411,0.3170176575912128,0.99999999,1836.0,0.99697112,0.27157136
27357,0.63258272,0.0,0.76727571,0.3170176575912128,0.99999999,1940.0,0.99632321,0.22399619
27578,0.63258272,0.0,0.7670395,0.3170176575912128,0.99999999,1954.0,0.99632321,0.35346181
27760,0.63258272,0.0,0.76683618,0.3170176575912128,0.99999999,1967.0,0.99626895,0.53208964
27954,0.63258272,0.0,0.76651913,0.3170176575912128,0.99999999,1978.0,0.99625521,0.56426779
28160,0.63258272,0.0,0.76624006,0.3170176575912128,0.99999999,1989.0,0.99620555,0.5770995
29381,0.63258272,0.0,0.76528123,0.3170176575912128,0.99999999,2056.0,0.99620555,0.518073
31567,0.63258272,0.0,0.76452525,0.3170176575912128,0.99999999,2171.0,0.99554575,0.51576203
31769,0.63258272,0.0,0.76437313,0.3170176575912128,0.99999999,2183.0,0.99554575,0.56020518
34034,0.58241191,0.0,0.76340684,0.3170176575912128,0.99999999,2306.0,0.99588727,0.30951115
34280,0.58241191,0.0,0.76326167,0.3170176575912128,0.99999999,2318.0,0.99600451,0.30951115
34503,0.58241191,0.0,0.76307762,0.3170176575912128,0.99999999,2329.0,0.99610862,0.41210924
36235,0.58241191,0.0,0.76212843,0.3170176575912128,0.99999999,2421.0,0.99548407,0.28287568
36532,0.58241191,0.0,0.7619919,0.3170176575912128,0.99999999,2438.0,0.99548407,0.2512877
36744,0.58241191,0.0,0.76185089,0.3170176575912128,0.99999999,2451.0,0.99579229,0.49640671
37334,0.58241191,0.0,0.76149695,0.3170176575912128,0.99999999,2490.0,0.99551784,0.13668166
37549,0.58241191,0.0,0.7613454,0.3170176575912128,0.99999999,2501.0,0.99557943,0.52598691
37688,0.58241191,0.0,0.76123212,0.3170176575912128,0.99999999,2515.0,0.99503872,0.43942777
39047,0.60548965,0.0,0.76059267,0.3170176575912128,0.99999999,2582.0,0.99503872,0.33237394
39308,0.60548965,0.0,0.76032014,0.3170176575912128,0.99999999,2597.0,0.99492216,0.3273581
39552,0.60548965,0.0,0.76013825,0.3170176575912128,0.99999999,2610.0,0.99492216,0.44696686
40229,0.60548965,0.0,0.75964543,0.3170176575912128,0.99999999,2647.0,0.99481799,0.45110761
40456,0.58241191,0.0,0.75931722,0.3170176575912128,0.99999999,2660.0,0.99484252,0.15994059
42662,0.58241191,0.0,0.75800877,0.3170176575912128,0.99999999,2799.0,0.99475968,0.08387547
42853,0.58241191,0.0,0.75788859,0.3170176575912128,0.99999999,2812.0,0.99479577,0.13064986
43679,0.58241191,0.0,0.75731636,0.3170176575912128,0.99999999,2867.0,0.99555685,0.21744499
43898,0.58241191,0.0,0.75715429,0.3170176575912128,0.99999999,2879.0,0.99583801,0.16388457
44225,0.58241191,0.0,0.75682427,0.3170176575912128,0.99999999,2898.0,0.99606499,0.28529601
44399,0.58241191,0.0,0.75665409,0.3170176575912128,0.99999999,2910.0,0.99562706,0.28529601
